所属区,成交均价,面积区间,序号,日期,成交套数,成交面积
全市,65280.38,144平方米以上,270016,2024/4/26,4,777.36
宝安,65280.38,144平方米以上,270015,2024/4/26,4,777.36
福田,85019.86,90~144平方米,270014,2024/4/26,1,122.46
宝安,58682.5,90~144平方米,270013,2024/4/26,11,1218.24
光明,40805.81,90~144平方米,270012,2024/4/26,8,862.07
龙岗,38163.1,90~144平方米,270011,2024/4/26,12,1338.99
龙华,56072.51,90~144平方米,270010,2024/4/26,15,1555.05
南山,91769.72,90~144平方米,270009,2024/4/26,6,667.5
坪山,34253.53,90~144平方米,270008,2024/4/26,1,92.64
深汕,11786.96,90~144平方米,270007,2024/4/26,3,383.45
全市,51971.53,90~144平方米,270006,2024/4/26,57,6240.4
龙华,54222.76,90平方米以下,270005,2024/4/26,7,567.6
宝安,78061.38,90平方米以下,270004,2024/4/26,14,1162.05
光明,35409.71,90平方米以下,270003,2024/4/26,7,532.09
龙岗,31895.59,90平方米以下,270002,2024/4/26,15,1019.5
全市,49651.47,90平方米以下,270001,2024/4/26,52,4050.35
南山,78511.5,90平方米以下,270000,2024/4/26,1,82.99
坪山,31789.44,90平方米以下,269999,2024/4/26,6,508.89
深汕,12226.32,90平方米以下,269998,2024/4/26,1,88.14
盐田,50380.77,90平方米以下,269997,2024/4/26,1,89.09
全市,25020.36,144平方米以上,269938,2024/4/25,25,18616.48
龙华,17913.51,144平方米以上,269937,2024/4/25,7,9809.16
福田,31589.17,144平方米以上,269936,2024/4/25,16,8474.3
宝安,67198.48,144平方米以上,269935,2024/4/25,2,333.02
福田,85600.89,90~144平方米,269934,2024/4/25,4,436.38
宝安,55338.68,90~144平方米,269933,2024/4/25,13,1292.73
光明,37015.62,90~144平方米,269932,2024/4/25,5,500
龙岗,38121.83,90~144平方米,269931,2024/4/25,15,1589.79
龙华,54948.49,90~144平方米,269930,2024/4/25,12,1279.56
罗湖,54519.47,90~144平方米,269929,2024/4/25,2,255.38
南山,95693.51,90~144平方米,269928,2024/4/25,3,366.08
坪山,33997.38,90~144平方米,269927,2024/4/25,1,92.77
深汕,11157.56,90~144平方米,269926,2024/4/25,2,225.19
全市,51828.96,90~144平方米,269925,2024/4/25,57,6037.88
全市,43413.54,90平方米以下,269924,2024/4/25,89,6247.07
宝安,59801.32,90平方米以下,269923,2024/4/25,17,1455.67
福田,42631.01,90平方米以下,269922,2024/4/25,21,1044.96
光明,37977.87,90平方米以下,269921,2024/4/25,10,767.36
龙岗,29746.46,90平方米以下,269920,2024/4/25,16,1241.23
龙华,46671.81,90平方米以下,269919,2024/4/25,18,1148.32
坪山,31253.62,90平方米以下,269918,2024/4/25,6,499.84
盐田,48253.36,90平方米以下,269917,2024/4/25,1,89.69
全市,94607.47,144平方米以上,269857,2024/4/24,16,3179.93
罗湖,79470.66,144平方米以上,269856,2024/4/24,1,158.79
宝安,95403.06,144平方米以上,269855,2024/4/24,15,3021.14
福田,79745.12,90~144平方米,269854,2024/4/24,2,193.96
宝安,66549.43,90~144平方米,269853,2024/4/24,9,1034.47
光明,41156.81,90~144平方米,269852,2024/4/24,4,424.16
龙岗,31806.03,90~144平方米,269851,2024/4/24,9,881.87
龙华,54917.61,90~144平方米,269850,2024/4/24,11,1214.09
罗湖,59635.66,90~144平方米,269849,2024/4/24,3,317.93
南山,77763.32,90~144平方米,269848,2024/4/24,6,673.41
坪山,34820.94,90~144平方米,269847,2024/4/24,3,301.34
深汕,12209.32,90~144平方米,269846,2024/4/24,3,316.66
全市,52665.74,90~144平方米,269845,2024/4/24,50,5357.89
全市,45328.38,90平方米以下,269844,2024/4/24,53,4125.38
宝安,54809.15,90平方米以下,269843,2024/4/24,17,1309.15
光明,36332.09,90平方米以下,269842,2024/4/24,4,337.66
龙岗,29230.37,90平方米以下,269841,2024/4/24,11,843.5
龙华,50763.61,90平方米以下,269840,2024/4/24,12,909.25
罗湖,56607.18,90平方米以下,269839,2024/4/24,1,84.9
南山,77184.27,90平方米以下,269838,2024/4/24,2,163.86
坪山,30833.63,90平方米以下,269837,2024/4/24,6,477.06
全市,70388.83,144平方米以上,269775,2024/4/23,2,399.44
宝安,70388.83,144平方米以上,269774,2024/4/23,2,399.44
福田,85271.69,90~144平方米,269773,2024/4/23,4,431.44
宝安,55973.13,90~144平方米,269772,2024/4/23,4,471.55
光明,39176.94,90~144平方米,269771,2024/4/23,4,393.62
龙岗,45558.84,90~144平方米,269770,2024/4/23,3,321.81
龙华,55232.96,90~144平方米,269769,2024/4/23,7,729.33
南山,62893.65,90~144平方米,269768,2024/4/23,6,627.23
深汕,12393.19,90~144平方米,269767,2024/4/23,1,106.64
全市,56567.43,90~144平方米,269766,2024/4/23,29,3081.62
龙岗,26883.44,90平方米以下,269765,2024/4/23,16,1111.56
全市,42781.23,90平方米以下,269764,2024/4/23,43,2961.27
福田,63889.03,90平方米以下,269763,2024/4/23,11,619.41
光明,26375.07,90平方米以下,269762,2024/4/23,1,53.27
宝安,65198.22,90平方米以下,269761,2024/4/23,3,255.93
龙华,47841.58,90平方米以下,269760,2024/4/23,5,338.4
南山,75989.62,90平方米以下,269759,2024/4/23,2,163.86
坪山,28943.81,90平方米以下,269758,2024/4/23,4,330.65
深汕,10522.93,90平方米以下,269757,2024/4/23,1,88.19
全市,63916.5,144平方米以上,269694,2024/4/22,9,1707.27
南山,64258.44,144平方米以上,269693,2024/4/22,2,365.68
福田,26570.58,144平方米以上,269692,2024/4/22,1,319.15
宝安,75451.56,144平方米以上,269691,2024/4/22,6,1022.44
福田,98987.59,90~144平方米,269690,2024/4/22,2,227.88
宝安,59817.46,90~144平方米,269689,2024/4/22,7,764.52
光明,36972.39,90~144平方米,269688,2024/4/22,1,92.41
龙华,64702.31,90~144平方米,269687,2024/4/22,11,1248.43
南山,46797.74,90~144平方米,269686,2024/4/22,2,210.42
坪山,30477.2,90~144平方米,269685,2024/4/22,3,287.8
全市,60428.32,90~144平方米,269684,2024/4/22,26,2831.46
全市,43275.27,90平方米以下,269683,2024/4/22,19,1583.72
宝安,51961.06,90平方米以下,269682,2024/4/22,6,513.91
光明,35460.92,90平方米以下,269681,2024/4/22,2,166.44
龙岗,25751.56,90平方米以下,269680,2024/4/22,4,301.97
龙华,47779.3,90平方米以下,269679,2024/4/22,4,349.55
南山,79387.18,90平方米以下,269678,2024/4/22,1,82.99
坪山,28809.06,90平方米以下,269677,2024/4/22,2,168.86
全市,98272.13,144平方米以上,269613,2024/4/21,1,188.83
宝安,98272.13,144平方米以上,269612,2024/4/21,1,188.83
光明,42558.49,90~144平方米,269611,2024/4/21,3,332.11
宝安,63294.61,90~144平方米,269610,2024/4/21,12,1318.75
龙岗,36180.8,90~144平方米,269609,2024/4/21,12,1233.7
龙华,63352.41,90~144平方米,269608,2024/4/21,11,1220.51
南山,67056.51,90~144平方米,269607,2024/4/21,10,1087.57
坪山,32237.23,90~144平方米,269606,2024/4/21,2,209.9
深汕,11439.32,90~144平方米,269605,2024/4/21,5,640.7
全市,50732.19,90~144平方米,269604,2024/4/21,55,6043.24
全市,39847.78,90平方米以下,269603,2024/4/21,63,4575.72
宝安,76529.66,90平方米以下,269602,2024/4/21,7,601.11
光明,31545.39,90平方米以下,269601,2024/4/21,10,788.44
龙岗,26318.17,90平方米以下,269600,2024/4/21,30,1857.04
龙华,52418.57,90平方米以下,269599,2024/4/21,9,768.52
南山,70841.79,90平方米以下,269598,2024/4/21,2,139.38
坪山,29497.81,90平方米以下,269597,2024/4/21,5,421.23
全市,82958.5,144平方米以上,269537,2024/4/20,5,933.54
南山,44451.8,144平方米以上,269536,2024/4/20,1,150.57
罗湖,62810.33,144平方米以上,269535,2024/4/20,1,151.64
宝安,96981.63,144平方米以上,269534,2024/4/20,3,631.33
福田,81051.34,90~144平方米,269533,2024/4/20,1,96.7
宝安,56017.08,90~144平方米,269532,2024/4/20,12,1332.6
光明,40507.66,90~144平方米,269531,2024/4/20,10,1066.01
龙岗,37201.72,90~144平方米,269530,2024/4/20,9,892.16
龙华,55942.74,90~144平方米,269529,2024/4/20,21,2221.11
罗湖,55258.66,90~144平方米,269528,2024/4/20,1,134.34
南山,77238.9,90~144平方米,269527,2024/4/20,4,426.83
坪山,31083.79,90~144平方米,269526,2024/4/20,4,374.69
全市,51211.5,90~144平方米,269525,2024/4/20,62,6544.44
全市,44168.84,90平方米以下,269524,2024/4/20,42,3345.74
宝安,62186.61,90平方米以下,269523,2024/4/20,7,586.68
福田,42631.01,90平方米以下,269522,2024/4/20,1,49.76
光明,39635.26,90平方米以下,269521,2024/4/20,8,683.59
龙岗,37537.51,90平方米以下,269520,2024/4/20,9,631.86
龙华,57560.55,90平方米以下,269519,2024/4/20,6,515.18
南山,65680.96,90平方米以下,269518,2024/4/20,1,57.61
坪山,30353.28,90平方米以下,269517,2024/4/20,10,821.06
全市,84260.56,144平方米以上,269457,2024/4/19,5,1089.75
宝安,84260.56,144平方米以上,269456,2024/4/19,5,1089.75
光明,40374.58,90~144平方米,269455,2024/4/19,7,757.75
宝安,62571.03,90~144平方米,269454,2024/4/19,13,1450.41
龙岗,36318.6,90~144平方米,269453,2024/4/19,14,1468.85
龙华,59575.21,90~144平方米,269452,2024/4/19,13,1353.21
罗湖,65220.73,90~144平方米,269451,2024/4/19,2,236.33
南山,87335.73,90~144平方米,269450,2024/4/19,3,330.14
坪山,28971.11,90~144平方米,269449,2024/4/19,4,380.12
深汕,12907.07,90~144平方米,269448,2024/4/19,1,94.2
全市,51356.66,90~144平方米,269447,2024/4/19,57,6071.01
龙华,42769.72,90平方米以下,269446,2024/4/19,10,630.3
全市,46864.25,90平方米以下,269445,2024/4/19,71,5397.63
福田,81844.42,90平方米以下,269444,2024/4/19,1,43.07
光明,37860.13,90平方米以下,269443,2024/4/19,7,580.59
龙岗,30809.18,90平方米以下,269442,2024/4/19,25,1822.19
宝安,80792.67,90平方米以下,269441,2024/4/19,16,1397.99
罗湖,55801.41,90平方米以下,269440,2024/4/19,1,71.05
南山,70237.63,90平方米以下,269439,2024/4/19,2,87.44
坪山,30026.19,90平方米以下,269438,2024/4/19,8,676.81
深汕,11067.5,90平方米以下,269437,2024/4/19,1,88.19
全市,81029,144平方米以上,269359,2024/4/18,2,569.05
南山,95877.6,144平方米以上,269358,2024/4/18,1,380.56
宝安,51049.79,144平方米以上,269357,2024/4/18,1,188.49
福田,93678.71,90~144平方米,269356,2024/4/18,3,409.53
宝安,61474.9,90~144平方米,269355,2024/4/18,14,1513.06
光明,41034.22,90~144平方米,269354,2024/4/18,9,889.01
龙岗,37631.73,90~144平方米,269353,2024/4/18,15,1525.35
龙华,56323.79,90~144平方米,269352,2024/4/18,10,1051.32
罗湖,54132.65,90~144平方米,269351,2024/4/18,2,198.5
南山,80917.01,90~144平方米,269350,2024/4/18,14,1590.94
坪山,30292.93,90~144平方米,269349,2024/4/18,2,186.38
深汕,12041.58,90~144平方米,269348,2024/4/18,1,106.7
全市,57676.02,90~144平方米,269347,2024/4/18,70,7470.79
龙华,53437.64,90平方米以下,269346,2024/4/18,6,501.34
宝安,54211.86,90平方米以下,269345,2024/4/18,20,1436.43
大鹏,19854.75,90平方米以下,269344,2024/4/18,2,178.34
光明,38263.14,90平方米以下,269343,2024/4/18,6,432.29
龙岗,29244.5,90平方米以下,269342,2024/4/18,16,1271.22
全市,41211.56,90平方米以下,269341,2024/4/18,61,4741.15
罗湖,54354.75,90平方米以下,269340,2024/4/18,1,83.85
南山,80483.18,90平方米以下,269339,2024/4/18,1,82.99
坪山,31807.95,90平方米以下,269338,2024/4/18,8,666.55
深汕,11706.58,90平方米以下,269337,2024/4/18,1,88.14
全市,76538.91,144平方米以上,269276,2024/4/17,8,1517.34
南山,43627.39,144平方米以上,269275,2024/4/17,1,150.57
龙岗,44986.27,144平方米以上,269274,2024/4/17,1,146.02
宝安,84372.45,144平方米以上,269273,2024/4/17,6,1220.75
光明,42821.54,90~144平方米,269272,2024/4/17,5,536.59
宝安,67448.87,90~144平方米,269271,2024/4/17,11,1234.81
龙岗,38764.04,90~144平方米,269270,2024/4/17,7,731.05
龙华,53184.66,90~144平方米,269269,2024/4/17,9,900.64
南山,83953.29,90~144平方米,269268,2024/4/17,2,240.4
坪山,33641.02,90~144平方米,269267,2024/4/17,2,206.16
全市,54451.87,90~144平方米,269266,2024/4/17,36,3849.65
龙岗,30843.17,90平方米以下,269265,2024/4/17,10,665.35
宝安,70678.72,90平方米以下,269264,2024/4/17,8,622.75
全市,48348.86,90平方米以下,269263,2024/4/17,47,3448.64
光明,36976.95,90平方米以下,269262,2024/4/17,3,242.17
大鹏,19244.82,90平方米以下,269261,2024/4/17,1,88.95
龙华,50680.98,90平方米以下,269260,2024/4/17,10,757.07
罗湖,65071.19,90平方米以下,269259,2024/4/17,7,432.39
南山,66482.27,90平方米以下,269258,2024/4/17,2,161.97
坪山,29835.95,90平方米以下,269257,2024/4/17,6,477.99
宝安,79427.76,144平方米以上,269209,2024/4/16,5,1049.85
全市,79427.76,144平方米以上,269208,2024/4/16,5,1049.85
宝安,52714.94,90~144平方米,269207,2024/4/16,9,930.61
光明,38079.71,90~144平方米,269206,2024/4/16,2,213.62
龙岗,42820.31,90~144平方米,269205,2024/4/16,5,582.31
龙华,43502.58,90~144平方米,269204,2024/4/16,1,94.04
南山,95504.63,90~144平方米,269203,2024/4/16,1,90.76
全市,49643.34,90~144平方米,269202,2024/4/16,18,1911.34
光明,35876.52,90平方米以下,269201,2024/4/16,1,83.04
龙岗,27735.63,90平方米以下,269200,2024/4/16,8,480.21
罗湖,55974.1,90平方米以下,269199,2024/4/16,2,142.1
全市,59437.84,90平方米以下,269198,2024/4/16,23,1495.21
宝安,81811.99,90平方米以下,269197,2024/4/16,12,789.86
全市,44224.94,144平方米以上,269136,2024/4/15,8,2437.72
龙岗,55206.65,144平方米以上,269135,2024/4/15,1,186.06
宝安,43317.5,144平方米以上,269134,2024/4/15,7,2251.66
光明,44000.38,90~144平方米,269133,2024/4/15,2,204.49
宝安,71497.29,90~144平方米,269132,2024/4/15,8,859.89
龙岗,37700.27,90~144平方米,269131,2024/4/15,1,96.63
龙华,62181.29,90~144平方米,269130,2024/4/15,4,447.64
罗湖,67587.29,90~144平方米,269129,2024/4/15,1,93.27
南山,78562.08,90~144平方米,269128,2024/4/15,3,309.12
坪山,32793.3,90~144平方米,269127,2024/4/15,2,188.58
深汕,13162.06,90~144平方米,269126,2024/4/15,2,187.34
全市,59152.3,90~144平方米,269125,2024/4/15,23,2386.96
全市,33478.79,90平方米以下,269124,2024/4/15,32,2041.57
宝安,51877.9,90平方米以下,269123,2024/4/15,3,207.06
大鹏,19346.4,90平方米以下,269122,2024/4/15,1,89.42
福田,83511.79,90平方米以下,269121,2024/4/15,1,75.47
光明,40872.95,90平方米以下,269120,2024/4/15,1,88.55
龙岗,23040.52,90平方米以下,269119,2024/4/15,18,962.96
龙华,56844.52,90平方米以下,269118,2024/4/15,3,211.04
坪山,28918.87,90平方米以下,269117,2024/4/15,5,407.07
全市,67971.92,144平方米以上,269105,2024/4/14,5,890.01
龙华,79948.05,144平方米以上,269104,2024/4/14,1,175.89
龙岗,42383.96,144平方米以上,269103,2024/4/14,1,163
福田,112020.56,144平方米以上,269102,2024/4/14,1,174.14
宝安,53100.38,144平方米以上,269101,2024/4/14,2,376.98
福田,94343.57,90~144平方米,269100,2024/4/14,4,488.58
宝安,59812.02,90~144平方米,269099,2024/4/14,13,1475.23
光明,38750.64,90~144平方米,269098,2024/4/14,5,492.49
龙岗,34508.92,90~144平方米,269097,2024/4/14,7,690.25
龙华,59251.5,90~144平方米,269096,2024/4/14,9,1006.71
罗湖,55799.82,90~144平方米,269095,2024/4/14,1,106
南山,83986.28,90~144平方米,269094,2024/4/14,5,623.78
坪山,30700.77,90~144平方米,269093,2024/4/14,4,418.88
深汕,11706.33,90~144平方米,269092,2024/4/14,2,222.45
全市,56232.98,90~144平方米,269091,2024/4/14,50,5524.37
龙华,51624,90平方米以下,269090,2024/4/14,6,491.7
宝安,61952.49,90平方米以下,269089,2024/4/14,7,602.08
光明,36176.93,90平方米以下,269088,2024/4/14,1,83
龙岗,29784.67,90平方米以下,269087,2024/4/14,9,711.86
全市,46587.44,90平方米以下,269086,2024/4/14,31,2516.27
南山,78858.64,90平方米以下,269085,2024/4/14,3,221.34
坪山,31729.05,90平方米以下,269084,2024/4/14,3,239.89
深汕,10935,90平方米以下,269083,2024/4/14,1,77.31
盐田,49680.77,90平方米以下,269082,2024/4/14,1,89.09
全市,86150.78,144平方米以上,268979,2024/4/13,6,1282.55
南山,95249.6,144平方米以上,268978,2024/4/13,2,404.25
宝安,81962.91,144平方米以上,268977,2024/4/13,4,878.3
福田,102701.07,90~144平方米,268976,2024/4/13,3,366.28
宝安,73266.45,90~144平方米,268975,2024/4/13,13,1389.02
光明,40886.44,90~144平方米,268974,2024/4/13,8,821.57
龙岗,40386.11,90~144平方米,268973,2024/4/13,8,833.53
龙华,59696.05,90~144平方米,268972,2024/4/13,14,1501.82
罗湖,54528.24,90~144平方米,268971,2024/4/13,1,118.66
南山,108689.95,90~144平方米,268970,2024/4/13,3,374.28
坪山,35610.22,90~144平方米,268969,2024/4/13,1,97.86
深汕,12099.02,90~144平方米,268968,2024/4/13,1,112.4
全市,62023.55,90~144平方米,268967,2024/4/13,52,5615.42
龙华,54095.28,90平方米以下,268966,2024/4/13,8,644.25
宝安,67888.68,90平方米以下,268965,2024/4/13,6,471.12
福田,103709.57,90平方米以下,268964,2024/4/13,1,88.42
光明,39526.12,90平方米以下,268963,2024/4/13,4,354.09
龙岗,32422.75,90平方米以下,268962,2024/4/13,8,660.01
全市,48860.39,90平方米以下,268961,2024/4/13,35,2848.57
罗湖,57217.52,90平方米以下,268960,2024/4/13,2,142.1
南山,74672.89,90平方米以下,268959,2024/4/13,2,141.5
坪山,31054.07,90平方米以下,268958,2024/4/13,3,257.39
深汕,12182.85,90平方米以下,268957,2024/4/13,1,89.69
全市,68887.66,144平方米以上,268942,2024/4/12,11,2036.22
罗湖,57374.76,144平方米以上,268941,2024/4/12,1,179.54
宝安,70000.95,144平方米以上,268940,2024/4/12,10,1856.68
福田,89751.74,90~144平方米,268939,2024/4/12,5,584.23
宝安,56710.29,90~144平方米,268938,2024/4/12,10,1083.81
光明,40066.41,90~144平方米,268937,2024/4/12,7,706.35
龙岗,39123.89,90~144平方米,268936,2024/4/12,15,1564.28
龙华,60071.42,90~144平方米,268935,2024/4/12,14,1462.24
罗湖,51901.91,90~144平方米,268934,2024/4/12,2,213.47
南山,88016.13,90~144平方米,268933,2024/4/12,5,580.39
坪山,34952.42,90~144平方米,268932,2024/4/12,5,512.66
深汕,12018.21,90~144平方米,268931,2024/4/12,2,222.53
全市,53967.93,90~144平方米,268930,2024/4/12,65,6929.96
全市,51902.59,90平方米以下,268929,2024/4/12,61,4545.65
宝安,72929.03,90平方米以下,268928,2024/4/12,17,1381.58
光明,36166.08,90平方米以下,268927,2024/4/12,9,620.36
龙岗,30704.89,90平方米以下,268926,2024/4/12,12,939.9
龙华,52162.78,90平方米以下,268925,2024/4/12,18,1200.06
罗湖,57271.25,90平方米以下,268924,2024/4/12,2,156.64
南山,80483.18,90平方米以下,268923,2024/4/12,1,82.99
坪山,34300.93,90平方米以下,268922,2024/4/12,2,164.12
全市,68138.23,144平方米以上,268860,2024/4/11,9,1567.74
龙岗,49260.47,144平方米以上,268859,2024/4/11,3,515.63
福田,119773.62,144平方米以上,268858,2024/4/11,1,183.96
宝安,68409.02,144平方米以上,268857,2024/4/11,5,868.15
福田,86627.18,90~144平方米,268856,2024/4/11,4,429.65
宝安,56686.88,90~144平方米,268855,2024/4/11,14,1461.38
光明,35926.94,90~144平方米,268854,2024/4/11,7,708.78
龙岗,37270.04,90~144平方米,268853,2024/4/11,18,1916.87
龙华,61682.72,90~144平方米,268852,2024/4/11,15,1545.33
南山,75897.98,90~144平方米,268851,2024/4/11,10,1116.56
坪山,33354.51,90~144平方米,268850,2024/4/11,2,214.56
全市,54670.75,90~144平方米,268849,2024/4/11,70,7393.13
全市,39055.24,90平方米以下,268848,2024/4/11,60,4296.28
宝安,45204.56,90平方米以下,268847,2024/4/11,14,906.15
光明,36493.04,90平方米以下,268846,2024/4/11,10,849.66
龙岗,31816.01,90平方米以下,268845,2024/4/11,23,1478.93
龙华,55203.98,90平方米以下,268844,2024/4/11,7,603.43
南山,65258.16,90平方米以下,268843,2024/4/11,1,48.95
坪山,29972.77,90平方米以下,268842,2024/4/11,5,409.16
全市,70187.11,144平方米以上,268783,2024/4/10,5,849.39
南山,41907.8,144平方米以上,268782,2024/4/10,1,150.33
宝安,76268.46,144平方米以上,268781,2024/4/10,4,699.06
福田,87779.03,90~144平方米,268780,2024/4/10,4,454.7
宝安,50030.92,90~144平方米,268779,2024/4/10,20,2215.7
光明,38071.73,90~144平方米,268778,2024/4/10,6,680.39
龙岗,40323.97,90~144平方米,268777,2024/4/10,14,1451.95
龙华,50957.49,90~144平方米,268776,2024/4/10,5,517.3
罗湖,55725.24,90~144平方米,268775,2024/4/10,1,104.78
南山,85725.65,90~144平方米,268774,2024/4/10,9,1000.79
坪山,33828.85,90~144平方米,268773,2024/4/10,4,432.29
深汕,12179.42,90~144平方米,268772,2024/4/10,3,349.62
全市,51625.7,90~144平方米,268771,2024/4/10,66,7207.52
龙岗,24800.81,90平方米以下,268770,2024/4/10,22,1327.43
宝安,51394.94,90平方米以下,268769,2024/4/10,22,1821.42
大鹏,20430.15,90平方米以下,268768,2024/4/10,1,87.83
光明,36008.84,90平方米以下,268767,2024/4/10,9,750.01
全市,43471.51,90平方米以下,268766,2024/4/10,69,5175.07
龙华,54284.99,90平方米以下,268765,2024/4/10,4,351.08
罗湖,58512.96,90平方米以下,268764,2024/4/10,1,85.79
南山,96318.62,90平方米以下,268763,2024/4/10,5,337.27
坪山,31551.93,90平方米以下,268762,2024/4/10,5,414.24
全市,46276.53,144平方米以上,268659,2024/4/9,7,1572.1
罗湖,62810.33,144平方米以上,268658,2024/4/9,1,151.64
龙岗,7162.74,144平方米以上,268657,2024/4/9,1,324.33
宝安,55562.46,144平方米以上,268656,2024/4/9,5,1096.13
福田,89045.54,90~144平方米,268655,2024/4/9,7,773.47
宝安,63637.24,90~144平方米,268654,2024/4/9,19,2083.75
光明,37880.85,90~144平方米,268653,2024/4/9,2,215.04
龙岗,39338.24,90~144平方米,268652,2024/4/9,10,1113.86
龙华,57405.52,90~144平方米,268651,2024/4/9,7,706.36
罗湖,68848.58,90~144平方米,268650,2024/4/9,1,93.27
南山,53742.15,90~144平方米,268649,2024/4/9,10,980.53
坪山,33823.03,90~144平方米,268648,2024/4/9,2,191.83
深汕,14062.04,90~144平方米,268647,2024/4/9,2,188.4
全市,57077.85,90~144平方米,268646,2024/4/9,60,6346.51
龙岗,27636.74,90平方米以下,268645,2024/4/9,9,580.38
宝安,44004.99,90平方米以下,268644,2024/4/9,14,1067.86
福田,90082.82,90平方米以下,268643,2024/4/9,1,81.67
光明,30154.34,90平方米以下,268642,2024/4/9,10,700.35
全市,41310.78,90平方米以下,268641,2024/4/9,48,3476.15
龙华,55391.55,90平方米以下,268640,2024/4/9,7,526.85
罗湖,51891.97,90平方米以下,268639,2024/4/9,1,84.81
南山,68256.59,90平方米以下,268638,2024/4/9,2,116.84
坪山,33198.09,90平方米以下,268637,2024/4/9,4,317.39
宝安,50330.5,144平方米以上,268634,2024/4/8,2,376.98
全市,50330.5,144平方米以上,268633,2024/4/8,2,376.98
宝安,55729.06,90~144平方米,268632,2024/4/8,5,591.17
光明,36421.4,90~144平方米,268631,2024/4/8,1,92.59
龙华,66204.46,90~144平方米,268630,2024/4/8,1,96.69
南山,78629.68,90~144平方米,268629,2024/4/8,4,375.79
全市,62501.87,90~144平方米,268628,2024/4/8,11,1156.24
宝安,63344.51,90平方米以下,268627,2024/4/8,2,108.68
龙华,51837.92,90平方米以下,268626,2024/4/8,9,606.37
南山,79766.42,90平方米以下,268625,2024/4/8,1,42.41
坪山,30323.4,90平方米以下,268624,2024/4/8,3,244.49
全市,45328.57,90平方米以下,268623,2024/4/8,19,1244.21
龙岗,30068.35,90平方米以下,268622,2024/4/8,4,242.26
全市,50915.25,144平方米以上,268513,2024/4/7,5,904.53
南山,43029.62,144平方米以上,268512,2024/4/7,1,150.57
宝安,52490.06,144平方米以上,268511,2024/4/7,4,753.96
龙岗,27730.23,90~144平方米,268510,2024/4/7,3,281.63
宝安,90194.18,90~144平方米,268509,2024/4/7,4,440.42
龙华,50518.57,90~144平方米,268508,2024/4/7,5,478.36
罗湖,56420.66,90~144平方米,268507,2024/4/7,2,226.22
南山,95969.59,90~144平方米,268506,2024/4/7,3,333.03
深汕,13021.97,90~144平方米,268505,2024/4/7,2,187.87
全市,61036.14,90~144平方米,268504,2024/4/7,19,1947.53
全市,51441.15,90平方米以下,268503,2024/4/7,17,1124.01
宝安,52644.24,90平方米以下,268502,2024/4/7,3,231.87
福田,69228.92,90平方米以下,268501,2024/4/7,6,302.82
龙岗,29189.12,90平方米以下,268500,2024/4/7,5,387.27
龙华,70233.86,90平方米以下,268499,2024/4/7,1,78.12
罗湖,53582.55,90平方米以下,268498,2024/4/7,1,65.17
南山,74321.56,90平方米以下,268497,2024/4/7,1,58.76
全市,97917.22,144平方米以上,268430,2024/4/6,2,301.69
宝安,97917.22,144平方米以上,268429,2024/4/6,2,301.69
坪山,31939.79,90~144平方米,268428,2024/4/6,1,93.16
宝安,53116.21,90~144平方米,268427,2024/4/6,5,515.87
福田,87649.01,90~144平方米,268426,2024/4/6,2,253.12
光明,37973.62,90~144平方米,268425,2024/4/6,1,98.1
龙岗,36529.1,90~144平方米,268424,2024/4/6,2,220.41
全市,58236.57,90~144平方米,268423,2024/4/6,23,2447.05
南山,63061.58,90~144平方米,268422,2024/4/6,3,313.81
龙华,61285.75,90~144平方米,268421,2024/4/6,9,952.58
全市,35169.39,90平方米以下,268420,2024/4/6,6,435.5
龙岗,18884.31,90平方米以下,268419,2024/4/6,1,37.99
龙华,48257.61,90平方米以下,268418,2024/4/6,1,89.18
坪山,33390.33,90平方米以下,268417,2024/4/6,4,308.33
全市,50917.29,144平方米以上,268355,2024/4/5,2,301.73
南山,45484.64,144平方米以上,268354,2024/4/5,1,151.04
龙华,56362.56,144平方米以上,268353,2024/4/5,1,150.69
福田,117674.94,90~144平方米,268352,2024/4/5,1,114.27
宝安,54423.34,90~144平方米,268351,2024/4/5,14,1537.25
光明,40385.19,90~144平方米,268350,2024/4/5,3,280.94
龙岗,36148.37,90~144平方米,268349,2024/4/5,5,551.2
龙华,57682.45,90~144平方米,268348,2024/4/5,14,1449.59
罗湖,61179.85,90~144平方米,268347,2024/4/5,4,454.12
南山,82127.97,90~144平方米,268346,2024/4/5,5,589.2
坪山,34247.64,90~144平方米,268345,2024/4/5,1,91.79
全市,57476.59,90~144平方米,268344,2024/4/5,47,5068.36
全市,42301.51,90平方米以下,268343,2024/4/5,27,2045.06
宝安,46134.52,90平方米以下,268342,2024/4/5,4,282.41
福田,85696.79,90平方米以下,268341,2024/4/5,1,75.45
光明,38235.14,90平方米以下,268340,2024/4/5,3,261.71
龙岗,30570.82,90平方米以下,268339,2024/4/5,9,575.13
龙华,52470.56,90平方米以下,268338,2024/4/5,7,615.51
坪山,30358.04,90平方米以下,268337,2024/4/5,3,234.85
全市,83561.77,144平方米以上,268322,2024/4/4,7,1483.07
龙岗,52172.61,144平方米以上,268321,2024/4/4,3,517.72
福田,106522.83,144平方米以上,268320,2024/4/4,2,523.48
宝安,93137.3,144平方米以上,268319,2024/4/4,2,441.87
福田,106970.32,90~144平方米,268318,2024/4/4,1,124.09
宝安,61841.26,90~144平方米,268317,2024/4/4,11,1101.26
