所属区,成交均价,用途,序号,可售面积,日期,可售套数,成交套数,成交面积
盐田,0,商业,271417,3794.18,2024-05-13,62,0,0
全市,35264.23,商业,271418,1470652.42,2024-05-13,20616,17,1043.39
宝安,52628.36,住宅,271419,775259.21,2024-05-13,7842,43,3970.9
大鹏,0,住宅,271420,79923.18,2024-05-13,686,0,0
福田,84047.06,住宅,271421,180840.99,2024-05-13,1312,1,121.84
光明,40985.56,住宅,271422,812552.59,2024-05-13,8451,7,622.04
龙岗,36830.93,住宅,271423,1232798.4,2024-05-13,13030,22,2135.52
龙华,55415.43,住宅,271424,892388.98,2024-05-13,8955,12,1213.51
罗湖,56444.54,住宅,271425,64030.74,2024-05-13,559,3,254.98
南山,0,住宅,271426,262960.23,2024-05-13,2078,0,0
坪山,28809.06,住宅,271427,560630.98,2024-05-13,6281,1,85.94
深汕,11465.45,住宅,271428,412386.8,2024-05-13,3328,2,224.68
盐田,0,住宅,271429,49942.42,2024-05-13,474,0,0
全市,47519.05,住宅,271430,5323714.52,2024-05-13,52996,91,8629.41
宝安,0,办公楼,271431,207775.79,2024-05-13,1483,0,0
福田,0,办公楼,271432,59283.7,2024-05-13,470,0,0
光明,0,办公楼,271433,40548.33,2024-05-13,541,0,0
龙岗,0,办公楼,271434,114787.79,2024-05-13,1522,0,0
龙华,0,办公楼,271435,46979.34,2024-05-13,200,0,0
罗湖,0,办公楼,271436,221451.83,2024-05-13,2156,0,0
南山,0,办公楼,271437,370426.37,2024-05-13,1992,0,0
坪山,0,办公楼,271438,20423.04,2024-05-13,165,0,0
深汕,0,办公楼,271439,54013.67,2024-05-13,400,0,0
盐田,0,办公楼,271440,6435.47,2024-05-13,65,0,0
福田,0,其他,271441,87908.48,2024-05-13,556,0,0
宝安,0,其他,271397,212521.23,2024-05-13,2183,0,0
全市,0,办公楼,271398,1142125.33,2024-05-13,8994,0,0
光明,0,其他,271399,53354.03,2024-05-13,335,0,0
龙岗,0,其他,271400,92369.62,2024-05-13,408,0,0
龙华,0,其他,271401,323858.48,2024-05-13,1457,0,0
罗湖,0,其他,271402,142575.38,2024-05-13,237,0,0
南山,0,其他,271403,177587.16,2024-05-13,1530,0,0
深汕,0,其他,271404,11177.5,2024-05-13,238,0,0
盐田,0,其他,271405,12929.95,2024-05-13,51,0,0
全市,0,其他,271406,1114281.83,2024-05-13,6995,0,0
宝安,31562.46,商业,271407,356217.56,2024-05-13,4999,1,101.34
大鹏,0,商业,271408,30774.51,2024-05-13,509,0,0
福田,0,商业,271409,113909.64,2024-05-13,1280,0,0
光明,25417.69,商业,271410,116967.81,2024-05-13,1906,3,145.65
龙岗,22498.5,商业,271411,185386.22,2024-05-13,2682,9,421.48
龙华,0,商业,271412,85629,2024-05-13,1874,0,0
罗湖,0,商业,271413,104474.76,2024-05-13,1007,0,0
南山,72712.18,商业,271414,318440.67,2024-05-13,4035,2,244.57
坪山,20159.8,商业,271415,54448.54,2024-05-13,771,2,130.35
深汕,0,商业,271416,100609.53,2024-05-13,1491,0,0
福田,0,商业,271329,113909.64,2024-05-12,1280,0,0
光明,0,商业,271330,117092.16,2024-05-12,1909,0,0
龙岗,30465.47,商业,271331,185679.99,2024-05-12,2688,1,28.24
龙华,26507.21,商业,271332,85629,2024-05-12,1874,2,54.92
罗湖,0,商业,271333,104474.76,2024-05-12,1007,0,0
南山,0,商业,271334,318600.08,2024-05-12,4037,0,0
坪山,0,商业,271335,54448.54,2024-05-12,771,0,0
深汕,0,商业,271336,100609.53,2024-05-12,1491,0,0
盐田,0,商业,271337,3794.18,2024-05-12,62,0,0
全市,27851.38,商业,271338,1471430.36,2024-05-12,20630,3,83.16
宝安,68583.5,住宅,271339,776902.29,2024-05-12,7857,20,2271.29
大鹏,0,住宅,271340,79923.18,2024-05-12,686,0,0
福田,81480.3,住宅,271341,181115.6,2024-05-12,1315,3,279.45
光明,41015.65,住宅,271342,813269.64,2024-05-12,8458,15,1561.21
龙岗,33768.12,住宅,271343,1234029.92,2024-05-12,13041,16,1568.32
龙华,59638.56,住宅,271344,895855.66,2024-05-12,8987,14,1360.05
罗湖,55181.73,住宅,271345,64135.52,2024-05-12,560,2,235.83
南山,90908.46,住宅,271346,253878.56,2024-05-12,2006,3,432.79
坪山,34800.46,住宅,271347,561146.28,2024-05-12,6287,1,92.64
深汕,0,住宅,271348,412515.08,2024-05-12,3329,0,0
盐田,0,住宅,271349,50055.65,2024-05-12,475,0,0
全市,55402.76,住宅,271350,5322827.38,2024-05-12,53001,74,7801.58
宝安,0,办公楼,271351,207775.79,2024-05-12,1483,0,0
福田,0,办公楼,271352,59517.43,2024-05-12,471,0,0
光明,0,办公楼,271353,40548.33,2024-05-12,541,0,0
龙岗,0,办公楼,271354,114787.79,2024-05-12,1522,0,0
龙华,0,办公楼,271355,46979.34,2024-05-12,200,0,0
罗湖,0,办公楼,271356,221451.83,2024-05-12,2156,0,0
南山,0,办公楼,271357,370368.01,2024-05-12,1991,0,0
坪山,0,办公楼,271358,20423.04,2024-05-12,165,0,0
深汕,0,办公楼,271359,54013.67,2024-05-12,400,0,0
盐田,0,办公楼,271360,6435.47,2024-05-12,65,0,0
福田,0,其他,271361,87908.48,2024-05-12,556,0,0
宝安,0,其他,271317,212521.23,2024-05-12,2183,0,0
全市,0,办公楼,271318,1142300.7,2024-05-12,8994,0,0
光明,0,其他,271319,53354.03,2024-05-12,335,0,0
龙岗,0,其他,271320,93808.79,2024-05-12,439,0,0
龙华,20996.59,其他,271321,336917.71,2024-05-12,1462,6,227.96
罗湖,0,其他,271322,142575.38,2024-05-12,237,0,0
南山,0,其他,271323,177688.46,2024-05-12,1531,0,0
深汕,0,其他,271324,11177.5,2024-05-12,238,0,0
盐田,0,其他,271325,12929.95,2024-05-12,51,0,0
全市,20996.59,其他,271326,1128881.53,2024-05-12,7032,6,227.96
宝安,0,商业,271327,356417.97,2024-05-12,5002,0,0
大鹏,0,商业,271328,30774.51,2024-05-12,509,0,0
龙华,59584.16,住宅,271246,896728.18,2024-05-11,8996,16,1639.88
罗湖,77201.84,住宅,271247,64220.33,2024-05-11,561,2,185.89
南山,91867.36,住宅,271248,247306.27,2024-05-11,1952,2,218.63
坪山,35083.98,住宅,271249,561395.53,2024-05-11,6290,3,253.65
深汕,11450.96,住宅,271250,412515.08,2024-05-11,3329,1,127.55
盐田,0,住宅,271251,50055.65,2024-05-11,475,0,0
全市,52834.94,住宅,271252,5322743.82,2024-05-11,53014,87,8853.34
宝安,0,办公楼,271253,207775.79,2024-05-11,1483,0,0
福田,0,办公楼,271254,59517.43,2024-05-11,471,0,0
光明,0,办公楼,271255,40548.33,2024-05-11,541,0,0
龙岗,0,办公楼,271256,114787.79,2024-05-11,1522,0,0
龙华,0,办公楼,271257,46979.34,2024-05-11,200,0,0
罗湖,0,办公楼,271258,221451.83,2024-05-11,2156,0,0
南山,0,办公楼,271259,370416.96,2024-05-11,1992,0,0
坪山,0,办公楼,271260,20423.04,2024-05-11,165,0,0
深汕,0,办公楼,271261,54013.67,2024-05-11,400,0,0
盐田,0,办公楼,271262,6435.47,2024-05-11,65,0,0
福田,0,其他,271263,87908.48,2024-05-11,556,0,0
宝安,0,其他,271219,212521.23,2024-05-11,2183,0,0
全市,0,办公楼,271220,1142349.65,2024-05-11,8995,0,0
光明,0,其他,271221,53354.03,2024-05-11,335,0,0
龙岗,7349,其他,271222,93808.79,2024-05-11,439,1,3679.86
龙华,0,其他,271223,336917.71,2024-05-11,1462,0,0
罗湖,0,其他,271224,142575.38,2024-05-11,237,0,0
南山,0,其他,271225,177688.46,2024-05-11,1531,0,0
深汕,0,其他,271226,11177.5,2024-05-11,238,0,0
盐田,0,其他,271227,12929.95,2024-05-11,51,0,0
全市,7349,其他,271228,1128881.53,2024-05-11,7032,1,3679.86
宝安,34299.95,商业,271229,356417.97,2024-05-11,5002,1,83.47
大鹏,0,商业,271230,30774.51,2024-05-11,509,0,0
福田,0,商业,271231,113909.64,2024-05-11,1280,0,0
光明,31511.38,商业,271232,117154.91,2024-05-11,1910,1,41.2
龙岗,23021.08,商业,271233,185872.8,2024-05-11,2691,6,343.19
龙华,26583.99,商业,271234,85629,2024-05-11,1874,1,27.48
罗湖,0,商业,271235,104567.88,2024-05-11,1008,0,0
南山,0,商业,271236,318600.08,2024-05-11,4037,0,0
坪山,0,商业,271237,54448.54,2024-05-11,771,0,0
深汕,0,商业,271238,100609.53,2024-05-11,1491,0,0
盐田,0,商业,271239,3794.18,2024-05-11,62,0,0
全市,25825.53,商业,271240,1471779.04,2024-05-11,20635,9,495.34
宝安,62955.1,住宅,271241,778757.28,2024-05-11,7874,25,2708.22
大鹏,19512.15,住宅,271242,79923.18,2024-05-11,686,1,88.95
福田,95222.72,住宅,271243,181322.76,2024-05-11,1317,3,345.35
光明,37327.72,住宅,271244,814449.6,2024-05-11,8471,8,759.22
龙岗,36342.9,住宅,271245,1236069.96,2024-05-11,13063,26,2526
盐田,0,办公楼,271178,6435.47,2024-05-10,65,0,0
福田,0,其他,271179,87908.48,2024-05-10,556,0,0
罗湖,68468.1,住宅,271163,64220.33,2024-05-10,561,2,201.78
南山,79935.18,住宅,271164,245569.27,2024-05-10,1938,1,82.99
坪山,34470.89,住宅,271165,506258.54,2024-05-10,5697,1,97.33
深汕,0,住宅,271166,412737.22,2024-05-10,3331,0,0
盐田,0,住宅,271167,50055.65,2024-05-10,475,0,0
全市,52098.76,住宅,271168,5255322.72,2024-05-10,52324,64,6155.93
宝安,0,办公楼,271169,207775.79,2024-05-10,1483,0,0
福田,0,办公楼,271170,59517.43,2024-05-10,471,0,0
光明,0,办公楼,271171,40548.33,2024-05-10,541,0,0
龙岗,0,办公楼,271172,114787.79,2024-05-10,1522,0,0
龙华,0,办公楼,271173,54825.58,2024-05-10,270,0,0
罗湖,0,办公楼,271174,221451.83,2024-05-10,2156,0,0
南山,48586.03,办公楼,271175,369542.24,2024-05-10,1974,2,209.4
坪山,0,办公楼,271176,4631.33,2024-05-10,117,0,0
深汕,0,办公楼,271177,54013.67,2024-05-10,400,0,0
全市,31969.79,商业,271156,1411958.7,2024-05-10,19422,12,571.24
宝安,59142.42,住宅,271157,779476.16,2024-05-10,7883,14,1387.35
大鹏,0,住宅,271158,79923.18,2024-05-10,686,0,0
福田,90661.57,住宅,271159,166566.89,2024-05-10,1188,5,512.56
光明,40578.15,住宅,271160,815464.45,2024-05-10,8482,10,938.31
龙岗,33807.58,住宅,271161,1237381.34,2024-05-10,13077,18,1713.07
龙华,59222.28,住宅,271162,897669.69,2024-05-10,9006,13,1222.54
全市,48586.03,办公楼,271136,1133529.46,2024-05-10,8999,2,209.4
光明,0,其他,271137,53354.03,2024-05-10,335,0,0
龙岗,0,其他,271138,97914.92,2024-05-10,453,0,0
龙华,20526.07,其他,271139,336917.71,2024-05-10,1462,2,74.06
罗湖,0,其他,271140,142575.38,2024-05-10,237,0,0
南山,0,其他,271141,177688.46,2024-05-10,1531,0,0
深汕,0,其他,271142,11177.5,2024-05-10,238,0,0
盐田,0,其他,271143,12929.95,2024-05-10,51,0,0
全市,20526.07,其他,271144,1139000.88,2024-05-10,7050,2,74.06
宝安,29535.39,商业,271145,356417.97,2024-05-10,5002,1,67.28
大鹏,0,商业,271146,30774.51,2024-05-10,509,0,0
福田,0,商业,271147,69503.2,2024-05-10,409,0,0
光明,0,商业,271148,117154.91,2024-05-10,1910,0,0
龙岗,22914.99,商业,271149,186124.83,2024-05-10,2696,5,280.25
龙华,27179.09,商业,271150,85629,2024-05-10,1874,5,137.27
罗湖,0,商业,271151,104567.88,2024-05-10,1008,0,0
南山,70829.27,商业,271152,318730.11,2024-05-10,4038,1,86.44
坪山,0,商业,271153,38652.58,2024-05-10,423,0,0
深汕,0,商业,271154,100609.53,2024-05-10,1491,0,0
盐田,0,商业,271155,3794.18,2024-05-10,62,0,0
宝安,0,其他,271135,218534.45,2024-05-10,2187,0,0
罗湖,0,其他,271065,142575.38,2024-05-09,237,0,0
南山,67596.98,其他,271066,177789.91,2024-05-09,1532,1,58.33
深汕,0,其他,271067,11177.5,2024-05-09,238,0,0
盐田,0,其他,271068,12929.95,2024-05-09,51,0,0
全市,17725.14,其他,271069,1139102.33,2024-05-09,7051,3,2953.71
宝安,0,商业,271070,356352.35,2024-05-09,5002,0,0
大鹏,0,商业,271071,30774.51,2024-05-09,509,0,0
福田,0,商业,271072,69503.2,2024-05-09,409,0,0
光明,0,商业,271073,117279.75,2024-05-09,1911,0,0
龙岗,22969.78,商业,271074,186490.74,2024-05-09,2704,12,547.57
龙华,26728.67,商业,271075,85656.46,2024-05-09,1875,1,27.35
罗湖,0,商业,271076,104611.01,2024-05-09,1009,0,0
南山,0,商业,271077,318730.11,2024-05-09,4038,0,0
坪山,0,商业,271078,38652.58,2024-05-09,423,0,0
深汕,0,商业,271079,100609.53,2024-05-09,1491,0,0
盐田,0,商业,271080,3794.18,2024-05-09,62,0,0
全市,23148.6,商业,271081,1412454.42,2024-05-09,19433,13,574.92
宝安,77976.39,住宅,271082,763102.49,2024-05-09,7770,23,2633.27
大鹏,0,住宅,271083,79923.18,2024-05-09,686,0,0
福田,86418,住宅,271084,166566.89,2024-05-09,1188,2,218.67
光明,39703.19,住宅,271085,816365.85,2024-05-09,8491,11,1086.5
龙岗,38933.95,住宅,271086,1239361.91,2024-05-09,13095,26,2550.5
龙华,51005.41,住宅,271087,900908.33,2024-05-09,9036,17,1664.38
罗湖,75882.12,住宅,271088,64220.33,2024-05-09,561,6,746.91
南山,78503.06,住宅,271089,242866.82,2024-05-09,1914,5,519.39
坪山,33871.63,住宅,271090,506258.54,2024-05-09,5697,13,1130.64
深汕,11025.97,住宅,271091,412833.62,2024-05-09,3332,2,221.61
盐田,0,住宅,271092,49767.05,2024-05-09,472,0,0
全市,54749.25,住宅,271093,5242175.01,2024-05-09,52242,105,10771.87
宝安,0,办公楼,271094,207775.79,2024-05-09,1483,0,0
福田,25000,办公楼,271095,59517.43,2024-05-09,471,1,580.91
光明,0,办公楼,271096,40548.33,2024-05-09,541,0,0
龙岗,0,办公楼,271097,114787.79,2024-05-09,1522,0,0
龙华,0,办公楼,271098,54825.58,2024-05-09,270,0,0
罗湖,0,办公楼,271099,221451.83,2024-05-09,2156,0,0
南山,48153.02,办公楼,271100,369542.24,2024-05-09,1974,8,961.84
坪山,0,办公楼,271101,4631.33,2024-05-09,117,0,0
深汕,0,办公楼,271102,54013.67,2024-05-09,400,0,0
盐田,0,办公楼,271103,6435.47,2024-05-09,65,0,0
福田,0,其他,271104,87908.48,2024-05-09,556,0,0
宝安,0,其他,271060,218534.45,2024-05-09,2187,0,0
全市,39434.94,办公楼,271061,1133529.46,2024-05-09,8999,9,1542.75
光明,0,其他,271062,53354.03,2024-05-09,335,0,0
龙岗,0,其他,271063,97914.92,2024-05-09,453,0,0
龙华,16720.43,其他,271064,336917.71,2024-05-09,1462,2,2895.38
福田,0,其他,271022,87908.48,2024-05-08,556,0,0
盐田,0,办公楼,271021,6435.47,2024-05-08,65,0,0
坪山,0,商业,270996,38817.37,2024-05-08,424,0,0
深汕,0,商业,270997,100609.53,2024-05-08,1491,0,0
盐田,0,商业,270998,3794.18,2024-05-08,62,0,0
全市,19139.31,商业,270999,1413121.39,2024-05-08,19441,1,37.88
宝安,87155.74,住宅,271000,764189.26,2024-05-08,7779,11,1410.59
大鹏,0,住宅,271001,79923.18,2024-05-08,686,0,0
福田,90660.88,住宅,271002,167076.6,2024-05-08,1193,10,1259.63
光明,37932.48,住宅,271003,817626.73,2024-05-08,8504,3,261.56
龙岗,32978.15,住宅,271004,1240762.78,2024-05-08,13110,10,939.08
龙华,58457.08,住宅,271005,904589.97,2024-05-08,9070,20,2111.07
罗湖,80705.41,住宅,271006,64414.92,2024-05-08,563,4,475.95
南山,91417.93,住宅,271007,240249.37,2024-05-08,1893,3,270.58
坪山,32497.65,住宅,271008,506169.6,2024-05-08,5696,5,419.81
深汕,11690.78,住宅,271009,413174.57,2024-05-08,3335,2,180.42
盐田,0,住宅,271010,49386.8,2024-05-08,468,0,0
全市,65542.08,住宅,271011,5247563.78,2024-05-08,52297,68,7328.69
宝安,0,办公楼,271012,207775.79,2024-05-08,1483,0,0
福田,0,办公楼,271013,59517.43,2024-05-08,471,0,0
光明,0,办公楼,271014,40548.33,2024-05-08,541,0,0
龙岗,0,办公楼,271015,114787.79,2024-05-08,1522,0,0
龙华,0,办公楼,271016,54825.58,2024-05-08,270,0,0
罗湖,0,办公楼,271017,221451.83,2024-05-08,2156,0,0
南山,0,办公楼,271018,369693.28,2024-05-08,1975,0,0
坪山,0,办公楼,271019,4631.33,2024-05-08,117,0,0
深汕,0,办公楼,271020,54013.67,2024-05-08,400,0,0
宝安,0,其他,270978,218534.45,2024-05-08,2187,0,0
全市,0,办公楼,270979,1133680.5,2024-05-08,9000,0,0
光明,0,其他,270980,53354.03,2024-05-08,335,0,0
龙岗,0,其他,270981,97914.92,2024-05-08,453,0,0
龙华,0,其他,270982,336917.71,2024-05-08,1462,0,0
罗湖,0,其他,270983,142575.38,2024-05-08,237,0,0
南山,78805.86,其他,270984,177789.91,2024-05-08,1532,1,53.93
深汕,0,其他,270985,11177.5,2024-05-08,238,0,0
盐田,0,其他,270986,12929.95,2024-05-08,51,0,0
全市,78805.86,其他,270987,1139102.33,2024-05-08,7051,1,53.93
宝安,0,商业,270988,356352.35,2024-05-08,5002,0,0
大鹏,0,商业,270989,30774.51,2024-05-08,509,0,0
福田,0,商业,270990,69503.2,2024-05-08,409,0,0
光明,0,商业,270991,117279.75,2024-05-08,1911,0,0
龙岗,19139.31,商业,270992,186862.89,2024-05-08,2710,1,37.88
龙华,0,商业,270993,85656.46,2024-05-08,1875,0,0
罗湖,0,商业,270994,104611.01,2024-05-08,1009,0,0
南山,0,商业,270995,318860.14,2024-05-08,4039,0,0
龙岗,33007.24,住宅,270938,1242361.51,2024-05-07,13127,9,824.21
龙华,57510.7,住宅,270939,905324.2,2024-05-07,9078,5,517.25
罗湖,0,住宅,270940,64566.56,2024-05-07,564,0,0
南山,0,住宅,270941,239957.88,2024-05-07,1890,0,0
坪山,34130.02,住宅,270942,506270.09,2024-05-07,5697,2,165.25
深汕,0,住宅,270943,413354.99,2024-05-07,3337,0,0
盐田,0,住宅,270944,49386.8,2024-05-07,468,0,0
全市,65533.85,住宅,270945,5253156.61,2024-05-07,52352,28,2958.47
宝安,0,办公楼,270946,207775.79,2024-05-07,1483,0,0
福田,0,办公楼,270947,59517.43,2024-05-07,471,0,0
光明,0,办公楼,270948,40548.33,2024-05-07,541,0,0
龙岗,0,办公楼,270949,114787.79,2024-05-07,1522,0,0
龙华,0,办公楼,270950,54825.58,2024-05-07,270,0,0
罗湖,0,办公楼,270951,221451.83,2024-05-07,2156,0,0
南山,0,办公楼,270952,369995.12,2024-05-07,1978,0,0
坪山,0,办公楼,270953,4631.33,2024-05-07,117,0,0
深汕,0,办公楼,270954,54013.67,2024-05-07,400,0,0
盐田,0,办公楼,270955,6435.47,2024-05-07,65,0,0
福田,0,其他,270956,87908.48,2024-05-07,556,0,0
龙岗,22506.83,商业,270926,187020.22,2024-05-07,2713,6,355.41
龙华,0,商业,270927,85694.96,2024-05-07,1876,0,0
罗湖,0,商业,270928,104758.39,2024-05-07,1011,0,0
南山,83145.23,商业,270929,318860.14,2024-05-07,4039,7,523.85
坪山,0,商业,270930,38817.37,2024-05-07,424,0,0
深汕,0,商业,270931,100609.53,2024-05-07,1491,0,0
盐田,0,商业,270932,3794.18,2024-05-07,62,0,0
全市,56325.29,商业,270933,1412475.01,2024-05-07,19428,15,949.5
宝安,90104.92,住宅,270934,765678.25,2024-05-07,7792,11,1373.22
大鹏,0,住宅,270935,79923.18,2024-05-07,686,0,0
福田,96177.39,住宅,270936,167660.66,2024-05-07,1198,1,78.54
光明,0,住宅,270937,818672.49,2024-05-07,8515,0,0
宝安,0,其他,270912,218534.45,2024-05-07,2187,0,0
全市,0,办公楼,270913,1133982.34,2024-05-07,9003,0,0
光明,0,其他,270914,53354.03,2024-05-07,335,0,0
龙岗,0,其他,270915,97914.92,2024-05-07,453,0,0
龙华,19301.84,其他,270916,336917.71,2024-05-07,1462,1,28.74
罗湖,0,其他,270917,142575.38,2024-05-07,237,0,0
南山,73193.54,其他,270918,177789.91,2024-05-07,1532,2,112.23
深汕,0,其他,270919,11177.5,2024-05-07,238,0,0
盐田,0,其他,270920,12929.95,2024-05-07,51,0,0
全市,62206.47,其他,270921,1139102.33,2024-05-07,7051,3,140.97
宝安,27421.44,商业,270922,356352.35,2024-05-07,5002,2,70.24
大鹏,0,商业,270923,30774.51,2024-05-07,509,0,0
福田,0,商业,270924,69503.2,2024-05-07,409,0,0
光明,0,商业,270925,116290.16,2024-05-07,1892,0,0
盐田,0,住宅,270869,49386.8,2024-05-06,468,0,0
全市,65723.36,住宅,270870,5259684.38,2024-05-06,52418,24,2390.76
宝安,0,办公楼,270871,207775.79,2024-05-06,1483,0,0
福田,49536.46,办公楼,270872,59517.43,2024-05-06,471,1,25.51
光明,0,办公楼,270873,40548.33,2024-05-06,541,0,0
龙岗,0,办公楼,270874,114787.79,2024-05-06,1522,0,0
龙华,0,办公楼,270875,54825.58,2024-05-06,270,0,0
罗湖,0,办公楼,270876,221451.83,2024-05-06,2156,0,0
南山,0,办公楼,270877,369995.12,2024-05-06,1978,0,0
坪山,0,办公楼,270878,4631.33,2024-05-06,117,0,0
深汕,0,办公楼,270879,54013.67,2024-05-06,400,0,0
盐田,0,办公楼,270880,6435.47,2024-05-06,65,0,0
福田,0,其他,270881,87908.48,2024-05-06,556,0,0
坪山,42539.37,商业,270855,38817.37,2024-05-06,424,1,43.38
深汕,0,商业,270856,100609.53,2024-05-06,1491,0,0
盐田,0,商业,270857,3794.18,2024-05-06,62,0,0
全市,63480.18,商业,270858,1412921.72,2024-05-06,19436,13,1179.78
宝安,87549.16,住宅,270859,766825.54,2024-05-06,7804,12,1288.87
大鹏,20366.41,住宅,270860,79923.18,2024-05-06,686,1,88.92
福田,0,住宅,270861,168257.4,2024-05-06,1203,0,0
光明,36929.81,住宅,270862,819947.67,2024-05-06,8528,1,92.66
龙岗,32959.32,住宅,270863,1243993.18,2024-05-06,13145,2,193.92
龙华,49107.82,住宅,270864,906730.12,2024-05-06,9091,6,542.72
罗湖,0,住宅,270865,64819.56,2024-05-06,566,0,0
南山,0,住宅,270866,239815.97,2024-05-06,1889,0,0
坪山,32738.74,住宅,270867,506629.97,2024-05-06,5701,2,183.67
深汕,0,住宅,270868,413354.99,2024-05-06,3337,0,0
龙岗,0,其他,270840,97914.92,2024-05-06,453,0,0
龙华,0,其他,270841,336917.71,2024-05-06,1462,0,0
罗湖,0,其他,270842,142575.38,2024-05-06,237,0,0
南山,0,其他,270843,177848.21,2024-05-06,1533,0,0
深汕,0,其他,270844,11177.5,2024-05-06,238,0,0
盐田,0,其他,270845,12929.95,2024-05-06,51,0,0
全市,25859.54,其他,270846,1139160.63,2024-05-06,7052,1,431.82
宝安,0,商业,270847,356387.29,2024-05-06,5003,0,0
大鹏,27158.36,商业,270848,30774.51,2024-05-06,509,1,71.23
福田,0,商业,270849,69503.2,2024-05-06,409,0,0
光明,28446.03,商业,270850,116290.16,2024-05-06,1892,1,40.89
龙岗,20547.83,商业,270851,187242.39,2024-05-06,2717,6,292.13
龙华,0,商业,270852,85733.26,2024-05-06,1877,0,0
罗湖,52556.6,商业,270853,104909.69,2024-05-06,1013,1,66.06
南山,90791.21,商业,270854,318860.14,2024-05-06,4039,3,666.09
宝安,25859.54,其他,270837,218534.45,2024-05-06,2187,1,431.82
全市,49536.46,办公楼,270838,1133982.34,2024-05-06,9003,1,25.51
光明,0,其他,270839,53354.03,2024-05-06,335,0,0
坪山,29602.1,住宅,270787,506800.39,2024-05-05,5703,1,67.2
深汕,12851.62,住宅,270788,413354.99,2024-05-05,3337,3,281.66
盐田,0,住宅,270789,49386.8,2024-05-05,468,0,0
全市,41745.46,住宅,270790,5262742.92,2024-05-05,52451,12,1137.33
宝安,50558.22,办公楼,270791,207775.79,2024-05-05,1483,1,229.61
福田,0,办公楼,270792,60365.79,2024-05-05,473,0,0
光明,0,办公楼,270793,40548.33,2024-05-05,541,0,0
龙岗,0,办公楼,270794,114787.79,2024-05-05,1522,0,0
龙华,0,办公楼,270795,54825.58,2024-05-05,270,0,0
罗湖,0,办公楼,270796,221451.83,2024-05-05,2156,0,0
南山,0,办公楼,270797,369995.12,2024-05-05,1978,0,0
坪山,0,办公楼,270798,4631.33,2024-05-05,117,0,0
深汕,0,办公楼,270799,54013.67,2024-05-05,400,0,0
盐田,0,办公楼,270800,6435.47,2024-05-05,65,0,0
福田,0,其他,270801,87908.48,2024-05-05,556,0,0
宝安,25859.54,其他,270757,218534.45,2024-05-05,2187,1,431.82
全市,50558.22,办公楼,270758,1134830.7,2024-05-05,9005,1,229.61
光明,0,其他,270759,53354.03,2024-05-05,335,0,0
龙岗,0,其他,270760,97914.92,2024-05-05,453,0,0
龙华,0,其他,270761,336917.71,2024-05-05,1462,0,0
罗湖,0,其他,270762,142575.38,2024-05-05,237,0,0
南山,0,其他,270763,177848.21,2024-05-05,1533,0,0
深汕,0,其他,270764,11177.5,2024-05-05,238,0,0
盐田,0,其他,270765,12929.95,2024-05-05,51,0,0
全市,25859.54,其他,270766,1139160.63,2024-05-05,7052,1,431.82
宝安,0,商业,270767,356387.29,2024-05-05,5003,0,0
大鹏,0,商业,270768,30774.51,2024-05-05,509,0,0
福田,0,商业,270769,69503.2,2024-05-05,409,0,0
光明,0,商业,270770,116290.16,2024-05-05,1892,0,0
龙岗,20234.21,商业,270771,187623.96,2024-05-05,2724,1,37.39
龙华,0,商业,270772,85733.26,2024-05-05,1877,0,0
罗湖,0,商业,270773,105044.72,2024-05-05,1016,0,0
南山,0,商业,270774,319116.38,2024-05-05,4044,0,0
坪山,0,商业,270775,38860.75,2024-05-05,425,0,0
深汕,0,商业,270776,100609.53,2024-05-05,1491,0,0
盐田,0,商业,270777,3794.18,2024-05-05,62,0,0
全市,20234.21,商业,270778,1413737.94,2024-05-05,19452,1,37.39
宝安,44396.35,住宅,270779,768852.5,2024-05-05,7823,1,98.06
大鹏,0,住宅,270780,80012.13,2024-05-05,687,0,0
福田,0,住宅,270781,168935.31,2024-05-05,1210,0,0
光明,41718,住宅,270782,820355.79,2024-05-05,8532,2,189.22
龙岗,38640.12,住宅,270783,1244775.55,2024-05-05,13153,3,260.03
龙华,78073.21,住宅,270784,904253.34,2024-05-05,9071,1,135.77
罗湖,85153.57,住宅,270785,64903.85,2024-05-05,567,1,105.39
南山,0,住宅,270786,241112.27,2024-05-05,1900,0,0
全市,46866.6,办公楼,270678,1134830.7,2024-05-04,9005,2,222.36
光明,0,其他,270679,53354.03,2024-05-04,335,0,0
龙岗,0,其他,270680,97914.92,2024-05-04,453,0,0
龙华,0,其他,270681,336917.71,2024-05-04,1462,0,0
罗湖,0,其他,270682,142575.38,2024-05-04,237,0,0
南山,0,其他,270683,177848.21,2024-05-04,1533,0,0
深汕,0,其他,270684,11177.5,2024-05-04,238,0,0
盐田,0,其他,270685,12929.95,2024-05-04,51,0,0
全市,0,其他,270686,1139160.63,2024-05-04,7052,0,0
宝安,0,商业,270687,356387.29,2024-05-04,5003,0,0
大鹏,0,商业,270688,30774.51,2024-05-04,509,0,0
福田,0,商业,270689,69503.2,2024-05-04,409,0,0
光明,0,商业,270690,116290.16,2024-05-04,1892,0,0
龙岗,21121.39,商业,270691,187688.45,2024-05-04,2725,5,267.68
龙华,0,商业,270692,85788.16,2024-05-04,1879,0,0
罗湖,0,商业,270693,105044.72,2024-05-04,1016,0,0
南山,0,商业,270694,319039.11,2024-05-04,4043,0,0
