district,Price,size, sold,target
罗湖,65220.73,236.33,2,90~144平方米
南山,87335.73,330.14,3,90~144平方米
坪山,28971.11,380.12,4,90~144平方米
深汕,12907.07,94.2,1,90~144平方米
全市,51356.66,6071.01,57,90~144平方米
龙华,42769.72,630.3,10,90平方米以下
全市,46864.25,5397.63,71,90平方米以下
福田,81844.42,43.07,1,90平方米以下
光明,37860.13,580.59,7,90平方米以下
龙岗,30809.18,1822.19,25,90平方米以下
宝安,80792.67,1397.99,16,90平方米以下
罗湖,55801.41,71.05,1,90平方米以下
南山,70237.63,87.44,2,90平方米以下
坪山,30026.19,676.81,8,90平方米以下
深汕,11067.5,88.19,1,90平方米以下
全市,81029,569.05,2,144平方米以上
南山,95877.6,380.56,1,144平方米以上
宝安,51049.79,188.49,1,144平方米以上
福田,93678.71,409.53,3,90~144平方米
宝安,61474.9,1513.06,14,90~144平方米
光明,41034.22,889.01,9,90~144平方米
龙岗,37631.73,1525.35,15,90~144平方米
龙华,56323.79,1051.32,10,90~144平方米
罗湖,54132.65,198.5,2,90~144平方米
南山,80917.01,1590.94,14,90~144平方米
坪山,30292.93,186.38,2,90~144平方米
深汕,12041.58,106.7,1,90~144平方米
全市,57676.02,7470.79,70,90~144平方米
龙华,53437.64,501.34,6,90平方米以下
宝安,54211.86,1436.43,20,90平方米以下
大鹏,19854.75,178.34,2,90平方米以下
光明,38263.14,432.29,6,90平方米以下
龙岗,29244.5,1271.22,16,90平方米以下
全市,41211.56,4741.15,61,90平方米以下
罗湖,54354.75,83.85,1,90平方米以下
南山,80483.18,82.99,1,90平方米以下
坪山,31807.95,666.55,8,90平方米以下
深汕,11706.58,88.14,1,90平方米以下
全市,76538.91,1517.34,8,144平方米以上
南山,43627.39,150.57,1,144平方米以上
龙岗,44986.27,146.02,1,144平方米以上
宝安,84372.45,1220.75,6,144平方米以上
光明,42821.54,536.59,5,90~144平方米
宝安,67448.87,1234.81,11,90~144平方米
龙岗,38764.04,731.05,7,90~144平方米
龙华,53184.66,900.64,9,90~144平方米
南山,83953.29,240.4,2,90~144平方米
坪山,33641.02,206.16,2,90~144平方米
全市,54451.87,3849.65,36,90~144平方米
龙岗,30843.17,665.35,10,90平方米以下
宝安,70678.72,622.75,8,90平方米以下
全市,48348.86,3448.64,47,90平方米以下
光明,36976.95,242.17,3,90平方米以下
大鹏,19244.82,88.95,1,90平方米以下
龙华,50680.98,757.07,10,90平方米以下
罗湖,65071.19,432.39,7,90平方米以下
南山,66482.27,161.97,2,90平方米以下
坪山,29835.95,477.99,6,90平方米以下
宝安,79427.76,1049.85,5,144平方米以上
全市,79427.76,1049.85,5,144平方米以上
宝安,52714.94,930.61,9,90~144平方米
光明,38079.71,213.62,2,90~144平方米
龙岗,42820.31,582.31,5,90~144平方米
龙华,43502.58,94.04,1,90~144平方米
南山,95504.63,90.76,1,90~144平方米
全市,49643.34,1911.34,18,90~144平方米
光明,35876.52,83.04,1,90平方米以下
龙岗,27735.63,480.21,8,90平方米以下
罗湖,55974.1,142.1,2,90平方米以下
全市,59437.84,1495.21,23,90平方米以下
宝安,81811.99,789.86,12,90平方米以下
全市,44224.94,2437.72,8,144平方米以上
龙岗,55206.65,186.06,1,144平方米以上
宝安,43317.5,2251.66,7,144平方米以上
光明,44000.38,204.49,2,90~144平方米
宝安,71497.29,859.89,8,90~144平方米
龙岗,37700.27,96.63,1,90~144平方米
龙华,62181.29,447.64,4,90~144平方米
罗湖,67587.29,93.27,1,90~144平方米
南山,78562.08,309.12,3,90~144平方米
坪山,32793.3,188.58,2,90~144平方米
深汕,13162.06,187.34,2,90~144平方米
全市,59152.3,2386.96,23,90~144平方米
全市,33478.79,2041.57,32,90平方米以下
宝安,51877.9,207.06,3,90平方米以下
大鹏,19346.4,89.42,1,90平方米以下
福田,83511.79,75.47,1,90平方米以下
光明,40872.95,88.55,1,90平方米以下
龙岗,23040.52,962.96,18,90平方米以下
龙华,56844.52,211.04,3,90平方米以下
坪山,28918.87,407.07,5,90平方米以下
全市,67971.92,890.01,5,144平方米以上
龙华,79948.05,175.89,1,144平方米以上
龙岗,42383.96,163,1,144平方米以上
福田,112020.56,174.14,1,144平方米以上
宝安,53100.38,376.98,2,144平方米以上
福田,94343.57,488.58,4,90~144平方米
宝安,59812.02,1475.23,13,90~144平方米
光明,38750.64,492.49,5,90~144平方米
龙岗,34508.92,690.25,7,90~144平方米
龙华,59251.5,1006.71,9,90~144平方米
罗湖,55799.82,106,1,90~144平方米
南山,83986.28,623.78,5,90~144平方米
坪山,30700.77,418.88,4,90~144平方米
深汕,11706.33,222.45,2,90~144平方米
全市,56232.98,5524.37,50,90~144平方米
龙华,51624,491.7,6,90平方米以下
宝安,61952.49,602.08,7,90平方米以下
光明,36176.93,83,1,90平方米以下
龙岗,29784.67,711.86,9,90平方米以下
全市,46587.44,2516.27,31,90平方米以下
南山,78858.64,221.34,3,90平方米以下
坪山,31729.05,239.89,3,90平方米以下
深汕,10935,77.31,1,90平方米以下
盐田,49680.77,89.09,1,90平方米以下
全市,86150.78,1282.55,6,144平方米以上
南山,95249.6,404.25,2,144平方米以上
宝安,81962.91,878.3,4,144平方米以上
福田,102701.07,366.28,3,90~144平方米
宝安,73266.45,1389.02,13,90~144平方米
光明,40886.44,821.57,8,90~144平方米
龙岗,40386.11,833.53,8,90~144平方米
龙华,59696.05,1501.82,14,90~144平方米
罗湖,54528.24,118.66,1,90~144平方米
南山,108689.95,374.28,3,90~144平方米
坪山,35610.22,97.86,1,90~144平方米
深汕,12099.02,112.4,1,90~144平方米
全市,62023.55,5615.42,52,90~144平方米
龙华,54095.28,644.25,8,90平方米以下
宝安,67888.68,471.12,6,90平方米以下
福田,103709.57,88.42,1,90平方米以下
光明,39526.12,354.09,4,90平方米以下
龙岗,32422.75,660.01,8,90平方米以下
全市,48860.39,2848.57,35,90平方米以下
罗湖,57217.52,142.1,2,90平方米以下
南山,74672.89,141.5,2,90平方米以下
坪山,31054.07,257.39,3,90平方米以下
深汕,12182.85,89.69,1,90平方米以下
全市,68887.66,2036.22,11,144平方米以上
罗湖,57374.76,179.54,1,144平方米以上
宝安,70000.95,1856.68,10,144平方米以上
福田,89751.74,584.23,5,90~144平方米
宝安,56710.29,1083.81,10,90~144平方米
光明,40066.41,706.35,7,90~144平方米
龙岗,39123.89,1564.28,15,90~144平方米
龙华,60071.42,1462.24,14,90~144平方米
罗湖,51901.91,213.47,2,90~144平方米
南山,88016.13,580.39,5,90~144平方米
坪山,34952.42,512.66,5,90~144平方米
深汕,12018.21,222.53,2,90~144平方米
全市,53967.93,6929.96,65,90~144平方米
全市,51902.59,4545.65,61,90平方米以下
宝安,72929.03,1381.58,17,90平方米以下
光明,36166.08,620.36,9,90平方米以下
龙岗,30704.89,939.9,12,90平方米以下
龙华,52162.78,1200.06,18,90平方米以下
罗湖,57271.25,156.64,2,90平方米以下
南山,80483.18,82.99,1,90平方米以下
坪山,34300.93,164.12,2,90平方米以下
全市,68138.23,1567.74,9,144平方米以上
龙岗,49260.47,515.63,3,144平方米以上
福田,119773.62,183.96,1,144平方米以上
宝安,68409.02,868.15,5,144平方米以上
福田,86627.18,429.65,4,90~144平方米
宝安,56686.88,1461.38,14,90~144平方米
光明,35926.94,708.78,7,90~144平方米
龙岗,37270.04,1916.87,18,90~144平方米
龙华,61682.72,1545.33,15,90~144平方米
南山,75897.98,1116.56,10,90~144平方米
坪山,33354.51,214.56,2,90~144平方米
全市,54670.75,7393.13,70,90~144平方米
全市,39055.24,4296.28,60,90平方米以下
宝安,45204.56,906.15,14,90平方米以下
光明,36493.04,849.66,10,90平方米以下
龙岗,31816.01,1478.93,23,90平方米以下
龙华,55203.98,603.43,7,90平方米以下
南山,65258.16,48.95,1,90平方米以下
坪山,29972.77,409.16,5,90平方米以下
全市,70187.11,849.39,5,144平方米以上
南山,41907.8,150.33,1,144平方米以上
宝安,76268.46,699.06,4,144平方米以上
福田,87779.03,454.7,4,90~144平方米
宝安,50030.92,2215.7,20,90~144平方米
光明,38071.73,680.39,6,90~144平方米
龙岗,40323.97,1451.95,14,90~144平方米
龙华,50957.49,517.3,5,90~144平方米
罗湖,55725.24,104.78,1,90~144平方米
南山,85725.65,1000.79,9,90~144平方米
坪山,33828.85,432.29,4,90~144平方米
深汕,12179.42,349.62,3,90~144平方米
全市,51625.7,7207.52,66,90~144平方米
龙岗,24800.81,1327.43,22,90平方米以下
宝安,51394.94,1821.42,22,90平方米以下
大鹏,20430.15,87.83,1,90平方米以下
光明,36008.84,750.01,9,90平方米以下
全市,43471.51,5175.07,69,90平方米以下
龙华,54284.99,351.08,4,90平方米以下
罗湖,58512.96,85.79,1,90平方米以下
南山,96318.62,337.27,5,90平方米以下
坪山,31551.93,414.24,5,90平方米以下
全市,46276.53,1572.1,7,144平方米以上
罗湖,62810.33,151.64,1,144平方米以上
龙岗,7162.74,324.33,1,144平方米以上
宝安,55562.46,1096.13,5,144平方米以上
福田,89045.54,773.47,7,90~144平方米
宝安,63637.24,2083.75,19,90~144平方米
光明,37880.85,215.04,2,90~144平方米
龙岗,39338.24,1113.86,10,90~144平方米
龙华,57405.52,706.36,7,90~144平方米
罗湖,68848.58,93.27,1,90~144平方米
南山,53742.15,980.53,10,90~144平方米
坪山,33823.03,191.83,2,90~144平方米
深汕,14062.04,188.4,2,90~144平方米
全市,57077.85,6346.51,60,90~144平方米
龙岗,27636.74,580.38,9,90平方米以下
宝安,44004.99,1067.86,14,90平方米以下
福田,90082.82,81.67,1,90平方米以下
光明,30154.34,700.35,10,90平方米以下
全市,41310.78,3476.15,48,90平方米以下
龙华,55391.55,526.85,7,90平方米以下
罗湖,51891.97,84.81,1,90平方米以下
南山,68256.59,116.84,2,90平方米以下
坪山,33198.09,317.39,4,90平方米以下
宝安,50330.5,376.98,2,144平方米以上
全市,50330.5,376.98,2,144平方米以上
宝安,55729.06,591.17,5,90~144平方米
光明,36421.4,92.59,1,90~144平方米
龙华,66204.46,96.69,1,90~144平方米
南山,78629.68,375.79,4,90~144平方米
全市,62501.87,1156.24,11,90~144平方米
宝安,63344.51,108.68,2,90平方米以下
龙华,51837.92,606.37,9,90平方米以下
南山,79766.42,42.41,1,90平方米以下
坪山,30323.4,244.49,3,90平方米以下
全市,45328.57,1244.21,19,90平方米以下
龙岗,30068.35,242.26,4,90平方米以下
全市,50915.25,904.53,5,144平方米以上
南山,43029.62,150.57,1,144平方米以上
宝安,52490.06,753.96,4,144平方米以上
龙岗,27730.23,281.63,3,90~144平方米
宝安,90194.18,440.42,4,90~144平方米
龙华,50518.57,478.36,5,90~144平方米
罗湖,56420.66,226.22,2,90~144平方米
南山,95969.59,333.03,3,90~144平方米
深汕,13021.97,187.87,2,90~144平方米
全市,61036.14,1947.53,19,90~144平方米
全市,51441.15,1124.01,17,90平方米以下
宝安,52644.24,231.87,3,90平方米以下
福田,69228.92,302.82,6,90平方米以下
龙岗,29189.12,387.27,5,90平方米以下
龙华,70233.86,78.12,1,90平方米以下
