district,Price,size, sold,target
福田,86269.64,311.47,4,90平方米以下
宝安,44004.27,911.9,12,90平方米以下
龙岗,29538.83,546.39,8,90平方米以下
全市,58427.5,5647.63,52,90~144平方米
深汕,11030.19,128.31,1,90~144平方米
坪山,35511.29,96.69,1,90~144平方米
南山,82034.87,312.61,3,90~144平方米
罗湖,60976.08,502.65,4,90~144平方米
龙华,61400.83,1854.38,17,90~144平方米
龙岗,39101.94,1016.17,10,90~144平方米
光明,41585.92,526.8,5,90~144平方米
盐田,49261.97,45.88,1,90平方米以下
坪山,31759.24,293.41,4,90平方米以下
龙华,58451.62,905.67,11,90平方米以下
龙岗,31791.08,462.32,7,90平方米以下
全市,49209.54,3031.63,40,90平方米以下
福田,104281.45,209.53,3,90平方米以下
大鹏,20359.21,88.95,1,90平方米以下
宝安,48944.88,633.42,8,90平方米以下
光明,39004.37,392.45,5,90平方米以下
全市,54870.94,4527.44,44,90~144平方米
坪山,35423.38,436.6,4,90~144平方米
南山,101971.62,241.16,2,90~144平方米
罗湖,56148.39,363.52,3,90~144平方米
龙华,66119.2,1131.24,11,90~144平方米
龙岗,39825.93,405.38,4,90~144平方米
光明,43752.88,668.92,7,90~144平方米
宝安,53330.61,1173.21,12,90~144平方米
福田,48226.42,107.41,1,90~144平方米
宝安,38464.76,1744.88,2,144平方米以上
全市,38464.76,1744.88,2,144平方米以上
宝安,23804.25,35.49,1,90平方米以下
光明,40071.41,332.53,4,90平方米以下
全市,52002.72,2946.69,28,90~144平方米
坪山,34195.94,131.18,1,90~144平方米
南山,70149.58,100.27,1,90~144平方米
龙华,52706.64,551.99,5,90~144平方米
龙岗,39978.82,899.14,9,90~144平方米
光明,42395.5,398.15,4,90~144平方米
福田,88486.23,245.85,2,90~144平方米
宝安,66710.39,523.44,5,90~144平方米
大鹏,32306.8,96.67,1,90~144平方米
南山,78013.93,153.25,1,144平方米以上
全市,78013.93,153.25,1,144平方米以上
坪山,35073.14,75.27,1,90平方米以下
南山,76686.4,142.43,2,90平方米以下
龙华,69744.94,169.44,2,90平方米以下
龙岗,36551.68,5749.89,108,90平方米以下
全市,38705.03,6771.6,122,90平方米以下
福田,59496.67,177.63,3,90平方米以下
大鹏,20340.9,88.92,1,90平方米以下
坪山,34114.21,178.81,2,90平方米以下
南山,72654.47,220.25,3,90平方米以下
龙华,39993.14,351.55,6,90平方米以下
龙岗,20911.15,2568.99,55,90平方米以下
光明,43812.86,261.23,3,90平方米以下
福田,45307.74,78.15,1,90平方米以下
宝安,41751.85,500.67,7,90平方米以下
全市,30236.24,4159.65,77,90平方米以下
全市,52810.22,2422.67,23,90~144平方米
深汕,11656.82,98.5,1,90~144平方米
坪山,35230.1,334.24,3,90~144平方米
南山,75367.58,116.89,1,90~144平方米
龙华,63631.79,579.6,6,90~144平方米
龙岗,41006.15,535.43,5,90~144平方米
光明,43606.55,308.03,3,90~144平方米
宝安,64557.69,327.25,3,90~144平方米
福田,104399.62,122.73,1,90~144平方米
宝安,65244.87,660.72,3,144平方米以上
龙华,81379.2,175.89,1,144平方米以上
全市,68636.97,836.61,4,144平方米以上
光明,44625.96,595.12,5,90~144平方米
宝安,93109.58,386.81,3,90~144平方米
福田,94460.88,358.43,3,90~144平方米
龙岗,55767.65,186.06,1,144平方米以上
罗湖,57056.18,151.3,1,144平方米以上
全市,56345.53,337.36,2,144平方米以上
龙华,66465.06,426.07,5,90平方米以下
龙岗,43018.7,425.78,5,90平方米以下
光明,43297.94,260.1,3,90平方米以下
大鹏,20174.44,88.95,1,90平方米以下
宝安,46535.92,173.87,2,90平方米以下
全市,49432.97,1621.56,19,90平方米以下
全市,57247.52,5361.87,47,90~144平方米
深汕,11428.58,256.17,2,90~144平方米
坪山,34735.83,110.27,1,90~144平方米
南山,103412.42,129.47,1,90~144平方米
罗湖,56839.14,764.11,7,90~144平方米
龙华,64587.74,1140.12,11,90~144平方米
龙岗,45212.81,1621.37,14,90~144平方米
坪山,38530.43,165.92,2,90平方米以下
南山,73980.2,80.87,1,90平方米以下
坪山,29790.8,83.07,1,90平方米以下
龙华,68442.1,427.51,5,90平方米以下
龙岗,32148.22,979.95,14,90平方米以下
光明,42262.39,709.53,8,90平方米以下
宝安,45152.22,686.12,10,90平方米以下
全市,43034.16,2886.18,38,90平方米以下
南山,83389.59,129.53,1,90~144平方米
深汕,12178.95,264.14,2,90~144平方米
全市,56058.43,5199.85,49,90~144平方米
罗湖,60461.11,457.36,4,90~144平方米
龙华,59706.06,1188.09,12,90~144平方米
龙岗,40690.24,753.66,7,90~144平方米
光明,39922.53,698.79,7,90~144平方米
福田,84487.29,365.52,3,90~144平方米
宝安,69202.69,1246.09,12,90~144平方米
大鹏,33202.88,96.67,1,90~144平方米
福田,124497.45,304.93,1,144平方米以上
龙岗,6323.48,256.17,1,144平方米以上
南山,115000.46,1850.68,4,144平方米以上
全市,104657.95,2411.78,6,144平方米以上
深汕,11487.96,127.86,1,90~144平方米
坪山,32374.01,131.18,1,90~144平方米
南山,91161.56,445.55,4,90~144平方米
龙华,59637.25,1413.87,13,90~144平方米
龙岗,37742.94,1468.1,14,90~144平方米
宝安,72555.18,1009.28,9,90~144平方米
光明,44791.45,92.85,1,90~144平方米
宝安,29303.81,15673.3,14,144平方米以上
福田,36112.79,265.28,1,144平方米以上
全市,29417.14,15938.58,15,144平方米以上
盐田,49782.7,177.33,2,90平方米以下
坪山,34538.54,89.19,1,90平方米以下
南山,67490.55,142.56,3,90平方米以下
罗湖,55622.55,65.22,1,90平方米以下
福田,115522.64,298,4,90平方米以下
龙岗,30008.81,970.3,16,90平方米以下
光明,39238.68,259.67,3,90平方米以下
全市,50436.06,3071.09,46,90平方米以下
宝安,51902.74,479.05,6,90平方米以下
龙华,52799.63,589.77,10,90平方米以下
全市,56188.36,4688.69,43,90~144平方米
盐田,51516.67,156.35,2,90平方米以下
深汕,11375.31,88.19,1,90平方米以下
南山,66743.61,198.51,4,90平方米以下
龙华,69906.6,351.44,4,90平方米以下
龙岗,34137.12,521.21,7,90平方米以下
光明,44575.41,397.01,5,90平方米以下
宝安,43578.85,367.02,6,90平方米以下
全市,47294.06,2079.73,29,90平方米以下
全市,59935,4135.09,37,90~144平方米
深汕,13317.17,242.39,2,90~144平方米
坪山,34659.72,308.89,3,90~144平方米
南山,81034.61,225.37,2,90~144平方米
罗湖,55746.32,422.52,4,90~144平方米
龙华,56233.22,903.38,8,90~144平方米
龙岗,37291.6,304.32,3,90~144平方米
光明,43601.5,343.67,3,90~144平方米
宝安,77941.58,1136.17,10,90~144平方米
福田,106280.51,248.38,2,90~144平方米
宝安,26726.51,2904.01,2,144平方米以上
龙岗,42662.59,163.95,1,144平方米以上
全市,27578.12,3067.96,3,144平方米以上
盐田,40605.26,330.33,7,90平方米以下
坪山,29620.81,82.91,1,90平方米以下
龙华,30233.84,38.36,1,90平方米以下
龙岗,33962.42,165.52,2,90平方米以下
光明,39634.86,216.72,3,90平方米以下
大鹏,19091.43,177.9,2,90平方米以下
全市,34413.01,1318.6,22,90平方米以下
宝安,35002.07,306.86,6,90平方米以下
全市,56872.26,2789.22,26,90~144平方米
深汕,12841.17,94.16,1,90~144平方米
坪山,35107.15,232.04,2,90~144平方米
龙华,68759.92,306.72,3,90~144平方米
龙岗,33901.24,294.02,3,90~144平方米
宝安,67380.26,1559.96,14,90~144平方米
光明,43350.25,302.32,3,90~144平方米
宝安,112776.14,154.98,1,144平方米以上
福田,86938.92,217.12,1,144平方米以上
南山,52038.65,214.02,1,144平方米以上
深汕,35952.19,182.48,1,144平方米以上
全市,70325.39,768.6,4,144平方米以上
福田,94675.66,387.24,3,90~144平方米
龙岗,25414.93,537.85,2,144平方米以上
罗湖,30077.19,160.38,1,144平方米以上
南山,204471.62,589.58,3,144平方米以上
全市,107970.57,1287.81,6,144平方米以上
坪山,34747.19,77.98,1,90平方米以下
南山,74896.81,142.64,2,90平方米以下
龙岗,32314.9,646.63,9,90平方米以下
福田,68608.11,150.72,3,90平方米以下
宝安,44698.27,88.44,1,90平方米以下
全市,43909.92,1106.41,16,90平方米以下
全市,46897.58,2427.59,21,90~144平方米
深汕,12316.45,656.98,5,90~144平方米
坪山,35016.62,90.78,1,90~144平方米
南山,70548.53,260.42,2,90~144平方米
龙岗,35891.24,538.49,5,90~144平方米
光明,39997.37,200.94,2,90~144平方米
宝安,68931.6,292.74,3,90~144平方米
南山,67064.14,58.51,1,90平方米以下
龙华,72810.66,87.97,1,90平方米以下
龙岗,28083.13,219.56,4,90平方米以下
福田,88834.34,88.12,1,90平方米以下
宝安,50473.71,85.21,1,90平方米以下
全市,53069.24,539.37,8,90平方米以下
坪山,34010.16,188.26,2,90~144平方米
深汕,11387.53,127.55,1,90~144平方米
全市,56663.47,2954.83,27,90~144平方米
南山,70280.9,100.27,1,90~144平方米
罗湖,49446.54,92.5,1,90~144平方米
龙华,65981.78,781.75,7,90~144平方米
龙岗,42011.65,425.84,4,90~144平方米
光明,42442.11,550.45,5,90~144平方米
宝安,71454.96,426,4,90~144平方米
福田,94127.83,262.21,2,90~144平方米
龙岗,46799.12,183.45,1,144平方米以上
全市,46799.12,183.45,1,144平方米以上
坪山,32586.54,179.3,2,90平方米以下
南山,62214.28,161.74,2,90平方米以下
罗湖,52549.57,77.3,1,90平方米以下
龙华,65827.67,325.25,4,90平方米以下
全市,50803.5,1811.87,25,90平方米以下
光明,40352.3,416.26,5,90平方米以下
福田,91989.09,153.85,2,90平方米以下
宝安,62218.93,203.85,3,90平方米以下
龙岗,23914.79,294.32,6,90平方米以下
全市,58404.01,4527.17,43,90~144平方米
盐田,55186.26,91.12,1,90~144平方米
坪山,34931.97,96.17,1,90~144平方米
龙华,63455.79,1861.41,17,90~144平方米
龙岗,37200.72,678.21,7,90~144平方米
光明,40156.44,619.63,6,90~144平方米
福田,98703.08,126.1,1,90~144平方米
宝安,75042.49,957.86,9,90~144平方米
大鹏,35802,96.67,1,90~144平方米
宝安,77866.13,762.41,4,144平方米以上
龙华,78393.36,175.89,1,144平方米以上
全市,77964.96,938.3,5,144平方米以上
坪山,34813,83.2,1,90平方米以下
南山,78234.28,38.3,1,90平方米以下
罗湖,47233.64,60.44,1,90平方米以下
龙华,64158.6,964.3,12,90平方米以下
全市,50198.82,2811.97,37,90平方米以下
光明,38179.56,481.74,6,90平方米以下
福田,106090.77,88.42,1,90平方米以下
宝安,50212.94,533.32,7,90平方米以下
龙岗,28437.71,562.25,8,90平方米以下
全市,52640.35,5822.31,53,90~144平方米
深汕,12451.75,641.41,5,90~144平方米
坪山,35856.14,116.02,1,90~144平方米
南山,79952.2,224.09,2,90~144平方米
罗湖,51832.97,494.22,4,90~144平方米
龙华,57947.14,1937.92,19,90~144平方米
龙岗,37730.44,417.58,4,90~144平方米
光明,42248.78,756.52,7,90~144平方米
宝安,70334.34,1108.06,10,90~144平方米
福田,101662.06,126.49,1,90~144平方米
宝安,29200,3070.75,3,144平方米以上
龙华,80435.27,175.89,1,144平方米以上
罗湖,57124.18,151.3,1,144平方米以上
全市,33095.51,3397.94,5,144平方米以上
龙华,67119.41,1676.02,16,90~144平方米
龙岗,35142.26,1753.39,17,90~144平方米
光明,41380.24,1585.76,15,90~144平方米
宝安,68992.93,1783.02,17,90~144平方米
福田,88205.29,533.07,4,90~144平方米
宝安,57090.68,410.93,2,144平方米以上
福田,34613.11,9466.56,19,144平方米以上
龙岗,24923.87,4005.98,15,144平方米以上
南山,118196.34,637.19,3,144平方米以上
全市,36243.9,14520.66,39,144平方米以上
坪山,33787.69,170.26,2,90平方米以下
南山,80371.18,332.47,6,90平方米以下
龙华,60544.68,635.96,8,90平方米以下
龙岗,31184.36,1769.91,24,90平方米以下
全市,43736.96,6684.29,95,90平方米以下
福田,50163.54,1068.42,20,90平方米以下
大鹏,20438.4,88.95,1,90平方米以下
宝安,43870.5,1181.99,17,90平方米以下
光明,41015.02,1436.33,17,90平方米以下
全市,55603.26,8417.93,79,90~144平方米
深汕,11933.24,331.79,3,90~144平方米
坪山,35230.9,215.31,2,90~144平方米
南山,86649.4,539.57,5,90~144平方米
深汕,10168.2,89.21,1,90平方米以下
坪山,36717.34,168.56,2,90平方米以下
南山,67381.61,382.41,7,90平方米以下
龙华,57959.98,456.05,7,90平方米以下
全市,36045.71,6606.68,105,90平方米以下
光明,40429.48,690.35,8,90平方米以下
福田,99972.94,74.39,1,90平方米以下
大鹏,20062.89,161.61,2,90平方米以下
宝安,31006.17,3187.68,54,90平方米以下
龙岗,29660.59,1396.42,23,90平方米以下
全市,57049.65,7124.2,66,90~144平方米
深汕,12210.71,460.96,4,90~144平方米
坪山,33124.99,579.77,6,90~144平方米
南山,94084.83,580.6,6,90~144平方米
罗湖,69952.36,257.56,2,90~144平方米
龙华,63021.92,2005.22,18,90~144平方米
龙岗,43013,905.67,8,90~144平方米
光明,40713.81,498.16,5,90~144平方米
宝安,62558.9,1598.27,15,90~144平方米
福田,98158.04,237.99,2,90~144平方米
福田,123359,194.33,1,144平方米以上
南山,100127.88,242.79,1,144平方米以上
全市,110455.71,437.12,2,144平方米以上
福田,112852.87,252.59,1,144平方米以上
罗湖,36101.48,24948.06,41,144平方米以上
南山,79898.88,215.08,1,144平方米以上
全市,35983.81,28071.3,45,144平方米以上
龙华,62429.46,163.94,2,90平方米以下
龙岗,27284.08,363.78,5,90平方米以下
光明,40758.51,432.03,5,90平方米以下
大鹏,19180.65,88.95,1,90平方米以下
宝安,42840.32,220.12,4,90平方米以下
全市,40949.26,1440.9,20,90平方米以下
全市,62512.52,3637.09,33,90~144平方米
深汕,9774.5,111.89,1,90~144平方米
坪山,34648.52,460.28,4,90~144平方米
南山,69014.77,97.32,1,90~144平方米
龙华,61304.68,841.77,8,90~144平方米
龙岗,46938.09,457.45,4,90~144平方米
光明,38958.82,193.57,2,90~144平方米
宝安,78280.1,838.71,8,90~144平方米
福田,90133.05,636.1,5,90~144平方米
宝安,24010,2655.57,2,144平方米以上
南山,81032.48,92.44,2,90平方米以下
坪山,32747.65,79.64,1,90平方米以下
光明,42618.26,110.71,1,90~144平方米
福田,125419.96,322.34,2,144平方米以上
龙岗,42685.17,162.82,1,144平方米以上
深汕,6500,2234.87,3,144平方米以上
全市,22758.77,2720.03,6,144平方米以上
坪山,32954.4,79.1,1,90平方米以下
南山,66308.13,57.72,1,90平方米以下
龙华,60284.09,638.74,10,90平方米以下
龙岗,27329.82,635.47,11,90平方米以下
宝安,51713.11,793.51,10,90平方米以下
福田,102932.4,87.69,1,90平方米以下
大鹏,20055.6,89.42,1,90平方米以下
全市,46288.04,2950.82,42,90平方米以下
光明,39401.48,569.17,7,90平方米以下
全市,53090.91,3539.27,31,90~144平方米
坪山,34726,96.53,1,90~144平方米
南山,83078.1,192.21,2,90~144平方米
罗湖,54064.16,116.25,1,90~144平方米
龙华,67780.83,576.68,5,90~144平方米
龙岗,44246.77,1395.38,12,90~144平方米
宝安,53970.38,1051.51,9,90~144平方米
深汕,11080.47,89.21,1,90平方米以下
坪山,33337.26,161.92,2,90平方米以下
龙华,67137.29,865.15,10,90平方米以下
龙岗,31903.98,615.33,8,90平方米以下
全市,47853.73,4184.18,51,90平方米以下
福田,92557.27,82.09,1,90平方米以下
大鹏,20277.16,72.19,1,90平方米以下
宝安,59672.79,850.7,11,90平方米以下
光明,38893.18,1447.59,17,90平方米以下
全市,58757.15,5284.88,48,90~144平方米
深汕,10750.75,256.56,2,90~144平方米
坪山,34392.16,90.78,1,90~144平方米
南山,96291.22,108.74,1,90~144平方米
罗湖,53233.3,443.1,4,90~144平方米
龙华,58688.64,1066.92,10,90~144平方米
龙岗,41370.29,689.72,6,90~144平方米
光明,39156.13,619.59,6,90~144平方米
宝安,72707.77,1767.58,16,90~144平方米
福田,110207.97,241.89,2,90~144平方米
宝安,96580.38,318.16,2,144平方米以上
福田,123522.37,444.66,2,144平方米以上
罗湖,55424.18,151.3,1,144平方米以上
深汕,24586.28,175.17,1,144平方米以上
全市,90284.43,1089.29,6,144平方米以上
宝安,47542.43,2417.48,34,90平方米以下
光明,39393.21,1072.14,13,90平方米以下
全市,52469.38,7030.85,65,90~144平方米
坪山,34595.71,422.05,4,90~144平方米
南山,83998.17,255.33,2,90~144平方米
罗湖,59623.43,427.22,4,90~144平方米
龙华,63519.76,1192.43,11,90~144平方米
龙岗,39646.34,437.34,4,90~144平方米
光明,40297.21,2717.94,26,90~144平方米
福田,92945.36,251.63,2,90~144平方米
宝安,63254.2,1230.24,11,90~144平方米
大鹏,36937.6,96.67,1,90~144平方米
宝安,85412.54,402.87,2,144平方米以上
全市,85412.54,402.87,2,144平方米以上
坪山,33446.4,472.89,6,90平方米以下
南山,67188.17,116.64,2,90平方米以下
龙华,62779.54,366.54,5,90平方米以下
龙岗,32963.71,610.6,9,90平方米以下
全市,47079.21,5482.03,74,90平方米以下
福田,95895.01,336.82,4,90平方米以下
大鹏,20583.15,88.92,1,90平方米以下
全市,41734.59,6039.73,85,90平方米以下
龙岗,30352.9,759.08,13,90平方米以下
全市,56398.11,9724.98,92,90~144平方米
坪山,35005.36,671.27,7,90~144平方米
南山,90930.43,574.9,5,90~144平方米
罗湖,54707.34,200.93,2,90~144平方米
龙华,63435.46,3374.05,31,90~144平方米
龙岗,40114.03,1259.32,12,90~144平方米
光明,40613.83,1828.12,18,90~144平方米
宝安,66020.38,1705.21,16,90~144平方米
福田,92892.41,111.18,1,90~144平方米
宝安,46471.94,1287.24,4,144平方米以上
龙岗,8512,3795,1,144平方米以上
龙华,15800,1438.02,1,144平方米以上
南山,72061.02,343.08,2,144平方米以上
全市,20335.14,6863.34,8,144平方米以上
盐田,51909.64,177.85,2,90平方米以下
坪山,32040.2,550.85,7,90平方米以下
南山,79652.02,76.88,2,90平方米以下
龙华,33476.87,317.66,6,90平方米以下
宝安,44111.95,2512.25,35,90平方米以下
光明,41158.02,1339.98,16,90平方米以下
福田,81970.86,216.23,3,90平方米以下
大鹏,19002.16,88.95,1,90平方米以下
宝安,26000,1673.89,1,144平方米以上
罗湖,27422.56,307.49,2,144平方米以上
南山,74145.25,343.1,2,144平方米以上
全市,33294.56,2324.48,5,144平方米以上
坪山,32433.75,453.6,6,90平方米以下
南山,75589.17,48.95,1,90平方米以下
罗湖,49726.95,172.22,3,90平方米以下
全市,43316.07,5551.51,72,90平方米以下
龙岗,34202.1,578.9,8,90平方米以下
光明,39369.16,1527.15,18,90平方米以下
大鹏,19972.05,355.59,4,90平方米以下
宝安,49322.3,1702.92,23,90平方米以下
龙华,66394.43,624.04,8,90平方米以下
全市,57909.36,6852.9,63,90~144平方米
深汕,11879.93,119.31,1,90~144平方米
坪山,35156.31,314,3,90~144平方米
南山,83655.55,827.51,7,90~144平方米
罗湖,61729.11,571.53,5,90~144平方米
龙华,58536.11,1222.77,12,90~144平方米
龙岗,41089.93,1185.38,11,90~144平方米
光明,43571.56,406.2,4,90~144平方米
宝安,56183.89,1672.1,16,90~144平方米
福田,89791.27,534.1,4,90~144平方米
深汕,11854.14,88.14,1,90平方米以下
深汕,12574.44,94.18,1,90~144平方米
坪山,35192.65,232.04,2,90~144平方米
南山,99993.76,599.49,5,90~144平方米
罗湖,62196.28,334.26,3,90~144平方米
龙华,66956.03,811.63,8,90~144平方米
龙岗,40749.98,503.31,5,90~144平方米
光明,38626.59,188.61,2,90~144平方米
宝安,67833.11,849.31,8,90~144平方米
福田,91972.41,111.18,1,90~144平方米
福田,118222.92,174.14,1,144平方米以上
龙华,14855.52,12857.17,9,144平方米以上
罗湖,92678.12,382.29,2,144平方米以上
深汕,10000,165.3,1,144平方米以上
全市,18312.99,13578.9,13,144平方米以上
盐田,53400.47,163.28,2,90平方米以下
深汕,22095.2,40.18,1,90平方米以下
坪山,32591.08,811.02,11,90平方米以下
南山,68187.79,216.66,5,90平方米以下
龙华,54763.93,564.06,8,90平方米以下
全市,38693.22,5599.14,76,90平方米以下
光明,43126.62,424.87,5,90平方米以下
福田,93771.8,75.35,1,90平方米以下
大鹏,19484.42,891.16,10,90平方米以下
宝安,50092.34,1039.21,14,90平方米以下
龙岗,29225.56,1373.35,19,90平方米以下
全市,63776.74,3927.66,37,90~144平方米
盐田,51227.18,203.65,2,90~144平方米
福田,82176.25,620.84,5,90~144平方米
宝安,68676.69,403.24,2,144平方米以上
福田,92341.97,818.74,4,144平方米以上
罗湖,26340,462.04,2,144平方米以上
南山,89262.25,739.53,4,144平方米以上
全市,74881.68,2423.55,12,144平方米以上
全市,48520.13,3403.97,47,90平方米以下
福田,63630.69,487.53,9,90平方米以下
大鹏,20263.54,534.86,6,90平方米以下
宝安,48558.15,447.74,8,90平方米以下
光明,42490.11,787.45,9,90平方米以下
全市,63784.28,3431.84,30,90~144平方米
深汕,11700.1,206.08,2,90~144平方米
坪山,36142.33,99.29,1,90~144平方米
南山,109123.83,110.18,1,90~144平方米
罗湖,50769.68,92.5,1,90~144平方米
龙华,72391.12,773.7,7,90~144平方米
龙岗,45133.89,347.65,3,90~144平方米
宝安,62170.07,1181.6,10,90~144平方米
坪山,31672.64,159.28,2,90平方米以下
南山,83294.19,572.25,7,90平方米以下
龙华,27213.64,27.34,1,90平方米以下
龙岗,37796.37,387.52,5,90平方米以下
福田,78884.57,144.89,2,90平方米以下
大鹏,20406.76,427.58,5,90平方米以下
宝安,44482.71,238.81,3,90平方米以下
全市,39971.15,2193.76,29,90平方米以下
全市,55439.69,2469.09,23,90~144平方米
深汕,13505,135.83,1,90~144平方米
坪山,36097.78,99.29,1,90~144平方米
南山,95821.03,108.74,1,90~144平方米
龙华,67165.3,772.39,7,90~144平方米
龙岗,34881.07,401.85,4,90~144平方米
光明,37573.12,399.69,4,90~144平方米
宝安,69268.93,424.29,4,90~144平方米
福田,84599.57,127.01,1,90~144平方米
宝安,70644.09,267.36,1,144平方米以上
南山,74704.67,153.25,1,144平方米以上
全市,72123.57,420.61,2,144平方米以上
坪山,32951.53,380.82,5,90平方米以下
龙华,71442.62,223.09,4,90平方米以下
龙岗,31781.99,440.86,6,90平方米以下
光明,42672.51,337.71,4,90平方米以下
全市,54117.17,146.21,1,144平方米以上
深汕,10977.99,77.3,1,90平方米以下
坪山,33813.7,396.36,5,90平方米以下
龙华,55807.68,299.5,5,90平方米以下
龙岗,29710.36,355.83,5,90平方米以下
光明,40060.74,1248.43,15,90平方米以下
大鹏,19218.9,89.42,1,90平方米以下
宝安,50844.38,394.89,5,90平方米以下
全市,39607.78,2861.73,37,90平方米以下
深汕,11375.75,546.58,5,90~144平方米
全市,58318.39,5029.97,47,90~144平方米
坪山,35909.97,323.16,3,90~144平方米
南山,103455.06,692.85,6,90~144平方米
罗湖,50761.34,216.57,2,90~144平方米
龙华,65160.43,1239.1,12,90~144平方米
龙岗,38288.07,289,3,90~144平方米
光明,39151.91,801.66,8,90~144平方米
福田,90828.9,136.48,1,90~144平方米
宝安,78770.41,688.69,6,90~144平方米
大鹏,31376.05,95.88,1,90~144平方米
宝安,54117.17,146.21,1,144平方米以上
龙华,62452.27,1099.35,15,90平方米以下
全市,46188.01,4834.19,63,90平方米以下
光明,42418.62,1234.41,14,90平方米以下
福田,51834.06,56.1,1,90平方米以下
宝安,44725.13,741.52,9,90平方米以下
龙岗,35478.21,897.57,13,90平方米以下
全市,63728.7,5587.5,51,90~144平方米
深汕,11277.96,466.76,4,90~144平方米
坪山,36716.95,398.38,4,90~144平方米
南山,97174.99,1749.56,15,90~144平方米
罗湖,62008.38,293.21,3,90~144平方米
龙华,60778.82,412.5,4,90~144平方米
龙岗,41000.08,523.99,5,90~144平方米
光明,40368.95,284.46,3,90~144平方米
宝安,63757.92,1361.97,12,90~144平方米
大鹏,32306.8,96.67,1,90~144平方米
龙华,77279.27,182.59,1,144平方米以上
罗湖,55849.18,151.3,1,144平方米以上
南山,102844.09,236.83,1,144平方米以上
全市,82206.63,570.72,3,144平方米以上
盐田,50810.59,89.97,1,90平方米以下
坪山,34210.23,546.73,7,90平方米以下
南山,65687.14,168.54,3,90平方米以下
龙岗,45088.66,164.09,1,144平方米以上
龙华,76158.67,182.61,1,144平方米以上
全市,47061,2134.18,6,144平方米以上
坪山,32766.1,1355.41,18,90平方米以下
龙华,60574.37,623.3,9,90平方米以下
龙岗,32907.7,820.81,12,90平方米以下
光明,40867.29,949.29,11,90平方米以下
福田,84165.66,338.77,5,90平方米以下
宝安,52526.3,515.81,7,90平方米以下
全市,44223.88,4603.39,62,90平方米以下
深汕,10921.42,324.25,3,90~144平方米
全市,68548.46,6908.88,63,90~144平方米
坪山,35998.98,335.31,3,90~144平方米
南山,107519.33,1333.23,11,90~144平方米
罗湖,50685.08,92.43,1,90~144平方米
龙华,67708.6,1489.56,14,90~144平方米
龙岗,45797.27,1184.47,11,90~144平方米
光明,38576.62,306.07,3,90~144平方米
宝安,72168.07,1472.74,14,90~144平方米
福田,99117.3,370.82,3,90~144平方米
宝安,35868.56,1603.65,3,144平方米以上
福田,117554.78,183.83,1,144平方米以上
龙岗,36600.4,401.99,5,90平方米以下
全市,56550.79,7123.51,66,90~144平方米
盐田,52572.72,199.83,2,90~144平方米
深汕,11423.1,449.2,4,90~144平方米
坪山,34279.14,695.91,7,90~144平方米
南山,83916.28,462.98,4,90~144平方米
罗湖,51120.66,328.76,3,90~144平方米
龙华,65960.74,1025.47,10,90~144平方米
龙岗,40827.83,633.54,6,90~144平方米
光明,42852.69,1269.57,12,90~144平方米
宝安,75402.3,1795.12,16,90~144平方米
福田,92815.69,263.13,2,90~144平方米
福田,47451.58,224.92,1,144平方米以上
龙岗,57076.65,186.06,1,144平方米以上
南山,119069.59,1241.58,4,144平方米以上
全市,102342.37,1652.56,6,144平方米以上
深汕,11689.71,80.14,1,90平方米以下
坪山,33979.82,700.46,9,90平方米以下
南山,82410.31,138.25,2,90平方米以下
龙华,57886.87,786.61,14,90平方米以下
全市,45134.42,4160.29,57,90平方米以下
光明,40342.54,614.61,7,90平方米以下
福田,77495.18,137.28,2,90平方米以下
大鹏,31433.01,85.91,1,90平方米以下
宝安,43833.51,1215.04,16,90平方米以下
深汕,12429.55,196.64,2,90~144平方米
全市,56982.64,4098.41,38,90~144平方米
坪山,31590.08,131.36,1,90~144平方米
南山,101366.24,90.76,1,90~144平方米
罗湖,51818.89,212.82,2,90~144平方米
龙华,52534.15,801.34,8,90~144平方米
龙岗,40534.17,753.77,7,90~144平方米
光明,43140.71,204.91,2,90~144平方米
宝安,67429.1,1208.25,11,90~144平方米
福田,87760.7,498.56,4,90~144平方米
罗湖,29622.39,155.27,1,144平方米以上
全市,29622.39,155.27,1,144平方米以上
坪山,35696.23,70.28,1,90平方米以下
龙华,62183.79,851.24,12,90平方米以下
龙岗,31751.15,904.18,12,90平方米以下
光明,40300.56,796.26,10,90平方米以下
福田,34049.41,74.81,1,90平方米以下
宝安,42869.42,469.91,6,90平方米以下
全市,43873.25,3166.68,42,90平方米以下
坪山,31407.04,233.26,3,90平方米以下
龙华,62253.36,199.26,3,90平方米以下
龙岗,32057.46,432.98,7,90平方米以下
光明,40597.31,179.21,2,90平方米以下
福田,48322.94,190.36,3,90平方米以下
宝安,69421.02,59.24,1,90平方米以下
全市,41873.7,1294.31,19,90平方米以下
全市,51169.15,2273.97,21,90~144平方米
坪山,35277.27,305.8,3,90~144平方米
南山,89257.42,125.51,1,90~144平方米
罗湖,54023.98,108.5,1,90~144平方米
龙华,51603.6,539.49,5,90~144平方米
龙岗,43666.12,465.93,4,90~144平方米
宝安,66749.88,412.69,4,90~144平方米
光明,40414.61,316.05,3,90~144平方米
宝安,88836.21,144.53,1,144平方米以上
龙岗,8164.22,12007.15,3,144平方米以上
罗湖,90548.9,181.07,1,144平方米以上
全市,10319.21,12332.75,5,144平方米以上
宝安,42735.02,425.82,5,90平方米以下
